label,axis_id,axis_label,target,score,axis_norm,positive_anchors_used_n,negative_anchors_used_n
1980_1989,romance_vs_desire,Romance vs Desire/Sexuality,baby,0.07567481696605682,2.67683744430542,5,5
1990_1999,romance_vs_desire,Romance vs Desire/Sexuality,baby,0.08462192863225937,2.7995660305023193,5,5
2000_2009,romance_vs_desire,Romance vs Desire/Sexuality,baby,0.0942445620894432,2.530764102935791,5,5
2010_2019,romance_vs_desire,Romance vs Desire/Sexuality,baby,0.08317483961582184,2.5131399631500244,5,5
1960_1969,romance_vs_desire,Romance vs Desire/Sexuality,desire,0.12598401308059692,1.9820486307144165,5,5
1970_1979,romance_vs_desire,Romance vs Desire/Sexuality,desire,0.033495768904685974,2.219194173812866,5,5
1980_1989,romance_vs_desire,Romance vs Desire/Sexuality,desire,-0.05920334905385971,2.67683744430542,5,5
1990_1999,romance_vs_desire,Romance vs Desire/Sexuality,desire,-0.03766293823719025,2.7995660305023193,5,5
2000_2009,romance_vs_desire,Romance vs Desire/Sexuality,desire,-0.03049660101532936,2.530764102935791,5,5
2010_2019,romance_vs_desire,Romance vs Desire/Sexuality,desire,0.0017391301225870848,2.5131399631500244,5,5
1960_1969,romance_vs_desire,Romance vs Desire/Sexuality,heart,0.06128721684217453,1.9820486307144165,5,5
1970_1979,romance_vs_desire,Romance vs Desire/Sexuality,heart,0.0002959716075565666,2.219194173812866,5,5
1980_1989,romance_vs_desire,Romance vs Desire/Sexuality,heart,0.05016540735960007,2.67683744430542,5,5
1990_1999,romance_vs_desire,Romance vs Desire/Sexuality,heart,0.08020380884408951,2.7995660305023193,5,5
2000_2009,romance_vs_desire,Romance vs Desire/Sexuality,heart,0.08802321553230286,2.530764102935791,5,5
2010_2019,romance_vs_desire,Romance vs Desire/Sexuality,heart,0.06427012383937836,2.5131399631500244,5,5
1960_1969,romance_vs_desire,Romance vs Desire/Sexuality,kiss,0.2388634830713272,1.9820486307144165,5,5
1970_1979,romance_vs_desire,Romance vs Desire/Sexuality,kiss,0.11879480630159378,2.219194173812866,5,5
1980_1989,romance_vs_desire,Romance vs Desire/Sexuality,kiss,0.08791182935237885,2.67683744430542,5,5
1990_1999,romance_vs_desire,Romance vs Desire/Sexuality,kiss,0.11147689074277878,2.7995660305023193,5,5
2000_2009,romance_vs_desire,Romance vs Desire/Sexuality,kiss,0.15717260539531708,2.530764102935791,5,5
2010_2019,romance_vs_desire,Romance vs Desire/Sexuality,kiss,0.19185946881771088,2.5131399631500244,5,5
1960_1969,romance_vs_desire,Romance vs Desire/Sexuality,love,0.2924516797065735,1.9820486307144165,5,5
1970_1979,romance_vs_desire,Romance vs Desire/Sexuality,love,0.1999606341123581,2.219194173812866,5,5
1980_1989,romance_vs_desire,Romance vs Desire/Sexuality,love,0.13074205815792084,2.67683744430542,5,5
1990_1999,romance_vs_desire,Romance vs Desire/Sexuality,love,0.21835118532180786,2.7995660305023193,5,5
2000_2009,romance_vs_desire,Romance vs Desire/Sexuality,love,0.22998788952827454,2.530764102935791,5,5
2010_2019,romance_vs_desire,Romance vs Desire/Sexuality,love,0.22849364578723907,2.5131399631500244,5,5
