token,source_count,target_count,cosine_before,cosine_after,delta
their,272010,91937,-0.0414447268797934,0.9316681687023308,0.9731128955821242
around,484057,126064,-0.03874971435607937,0.8857449915126838,0.9244947058687631
wake,128623,29611,-0.03432362565977236,0.8744539236359559,0.9087775492957282
blown,12487,3979,-0.11536259904017475,0.7847832635869373,0.900145862627112
much,337122,84665,-0.027515002077448312,0.8714336070787887,0.898948609156237
taken,31393,10690,-0.04132787416797249,0.8559202887425674,0.8972481629105399
made,377109,79981,-0.03772414515122362,0.8538435553011999,0.8915677004524235
became,22445,5245,-0.05043016792985057,0.8328655538054083,0.8832957217352588
our,630108,190256,0.047341885192078506,0.9254360933892458,0.8780942081971673
front,82174,20356,-0.05927457407190863,0.8187439242425418,0.8780184983144504
with,3075754,650057,0.024632797067180832,0.9006111947683749,0.8759783977011941
bring,200734,53039,0.018222286391391212,0.8905413515581901,0.8723190651667989
getting,298729,43801,0.017993737708938126,0.8789769113999659,0.8609831736910278
tonight,230258,70556,-0.022928258005082733,0.8352077597973128,0.8581360178023955
livin,55372,12182,-0.004039577492594898,0.8526826215735853,0.8567221990661802
turns,32785,11028,0.00533207999156473,0.8614850703031876,0.8561529903116228
wasted,33665,8298,-0.05809950468883718,0.7962415973620991,0.8543411020509363
yourself,142327,42753,0.02179431427754927,0.8725216818831878,0.8507273676056385
old,234007,64708,-0.04213898804794958,0.8080242525372626,0.8501632405852122
shit,1013800,105272,-0.019409336378435865,0.8307417311161174,0.8501510674945533
of,4257710,1270373,0.061266111969898326,0.9085373055477763,0.8472711935778781
walk,210909,61377,0.01800824630956028,0.8624262201455594,0.844417973835999
bus,21442,5849,-0.04797262047448987,0.793377760764832,0.8413503812393219
straight,135314,27882,-0.03245815588549683,0.8087191280226287,0.8411772839081255
honor,12434,3105,-0.15256903011637818,0.6881986740236953,0.8407677041400734
the,17368774,4441539,0.07490444870568622,0.9156640809964383,0.840759632290752
taxi,3847,915,-0.15215479839229987,0.6883252061504355,0.8404800045427353
between,88557,26411,0.0006057619553443798,0.8377106806602744,0.8371049187049301
maybe,226737,49009,0.015318593539153462,0.852417778278294,0.8370991847391406
voice,75131,23176,-0.005055832415189001,0.8310869240867097,0.8361427565018987
frown,8793,2148,-0.06655688445239448,0.76911596398009,0.8356728484324845
bones,48176,11939,0.007068222807723772,0.8403175536141315,0.8332493308064077
year,82914,19074,0.006639213036926071,0.8397491339057681,0.8331099208688421
glock,32363,3428,-0.08124843300987256,0.7516238052277167,0.8328722382375893
spread,29117,8379,0.02584236049490376,0.8565923545801004,0.8307499940851967
smile,112623,34760,0.03701755530953236,0.8677509364838896,0.8307333811743572
snow,41823,12454,0.00023048630929848463,0.8285446815089144,0.8283141951996159
opened,15320,5153,0.041524467892475214,0.8695276464559674,0.8280031785634921
mistakes,34101,7446,0.012454071405789725,0.840270505715825,0.8278164343100353
standing,68296,21236,0.05698110814372577,0.8845426652205858,0.82756155707686
stage,35328,8051,-0.023082964922924845,0.8026201752421489,0.8257031401650737
ridin,33935,5952,-0.015396502031804274,0.8058264193168844,0.8212229213486887
father,56843,15560,0.002662360546527442,0.8218080898307027,0.8191457292841753
spill,12319,2841,-0.04416413286303484,0.77473213031992,0.8188962631829549
okay,133183,17903,-0.03145953252749824,0.7847014296199988,0.816160962147497
talking,182064,23563,0.008124323031452007,0.821565459231548,0.813441136200096
skills,9413,2530,-0.056833435721472855,0.75613891397725,0.8129723496987228
drinking,39280,6592,0.01664873648609021,0.8284374378159389,0.8117887013298487
ten,56139,13770,-0.019764025009355278,0.7911800260411588,0.810944051050514
