token,source_count,target_count,cosine_before,cosine_after,delta
kyrie,1410,125,0.008203132109337048,0.11560794315623174,0.1074048110468947
ap,5807,203,0.09218482648827422,0.23342915557664573,0.1412443290883715
vera,536,139,-0.07798482145270204,0.28557607477108526,0.3635608962237873
stronghold,500,412,-0.011487663123268606,0.29805175836414677,0.30953942148741537
ou,9001,589,0.021605772899391272,0.29808665956183944,0.2764808866624482
stag,308,113,-0.03285486113685253,0.30236989199059006,0.3352247531274426
your'e,637,106,0.06702982775623464,0.30827224831238,0.24124242055614534
ph,827,125,0.0346063943213574,0.3179919329558723,0.2833855386345149
syndicate,601,108,0.15530012279326538,0.31942920152693427,0.1641290787336689
carlito,267,154,0.08971122045981138,0.3201229313515912,0.2304117108917798
ju,1584,327,-0.031921515366226574,0.32035031674931225,0.3522718321155388
tiki,497,248,0.13491216607223944,0.3250253060401975,0.1901131399679581
metro,3179,319,-0.05538657432271407,0.3334761010466843,0.38886267536939834
nt,873,245,-0.051305304531269344,0.3340073192302184,0.3853126237614878
tonite,939,603,0.03070669493190467,0.3387238942118531,0.3080171992799484
bah,6534,1402,0.03189631373036768,0.34525229036671656,0.3133559766363489
stephanie,540,172,0.014063254437460246,0.34608485185066207,0.3320215974132018
bc,1005,122,0.025798177240367762,0.3472750201567922,0.3214768429164244
wiling,301,101,0.03837723135536558,0.34775533138249964,0.30937810002713406
f'real,190,170,-0.0916411247632947,0.34930574065842235,0.440946865421717
stunnas,129,145,-0.03908209700636145,0.350257240246437,0.38933933725279846
butch,555,123,0.08014019246239955,0.35546845728095067,0.2753282648185511
nadine,123,295,0.12996647727769067,0.35645077214995413,0.22648429487226346
sophia,403,135,0.02672266200331698,0.35714438007975924,0.3304217180764423
ei,856,149,-0.028137839983515284,0.3580819028029412,0.3862197427864565
creeper,1550,160,0.01504270744173335,0.3623219809425349,0.34727927350080157
pew,8101,193,-0.06444148134548318,0.36278402188502684,0.42722550323051
chours,776,155,0.012333999683749451,0.36292230906632905,0.3505883093825796
emma,1166,162,-0.04184493071545332,0.3632452249767396,0.4050901556921929
nova,2370,428,0.04600492964019536,0.3634723127747308,0.31746738313453543
yu,3738,441,-0.07986978853479651,0.3645078798421057,0.4443776683769022
smurf,533,149,0.040259412329822386,0.36451695755274083,0.32425754522291844
bom,3556,627,-0.06220806871571005,0.3659562797861292,0.42816434850183926
donnie,870,212,0.041462687463404174,0.36631744971973995,0.3248547622563358
lu,1692,425,-0.009809886750115245,0.3704885371470701,0.3802984238971853
schoolboy,581,116,0.0307703589070321,0.3732445822373668,0.34247422333033467
discord,1026,155,-0.019695492385902853,0.37765611877003946,0.3973516111559423
madeline,327,101,0.0967644902566202,0.3780322698011199,0.2812677795444997
haw,868,304,0.07307887126043638,0.3791178059090835,0.3060389346486471
pu,1711,186,-0.049547108306029986,0.37933231521127153,0.4288794235173015
muthafucker,564,214,-0.0020116297692542584,0.3807293092577855,0.38274093902703976
juggalo,357,308,-0.014902702617917783,0.3816900269832548,0.3965927296011726
chino,768,250,-0.011962404212143268,0.38510565889214343,0.3970680631042867
mu,2237,281,0.008727166484605286,0.38572916315142014,0.37700199666681483
napoleon,1004,310,0.03419692233046378,0.3866677770823017,0.3524708547518379
casey,1012,303,0.08552241002536748,0.38786608843963943,0.30234367841427195
monsta,498,138,-0.047021622766921595,0.38842663594144977,0.43544825870837134
outdoor,366,120,0.10078799281956502,0.3900097043219254,0.28922171150236037
han,1690,167,0.0704346443431405,0.39011169794951517,0.31967705360637466
bleek,346,270,0.00045214489303828376,0.3910174155694311,0.3905652706763928
booted,1653,108,-0.04782940597473796,0.39118583123496703,0.439015237209705
ra,7478,1636,0.06992947268742658,0.3923777184891135,0.32244824580168696
hahahahaha,697,167,-0.01613082924165838,0.392399656403822,0.4085304856454804
xl,895,235,-0.05152818112828941,0.3932326380986341,0.44476081922692356
shaggy,948,473,-0.03635146448871902,0.3936596713691893,0.4300111358579083
effortlessly,665,116,0.06428539896370519,0.3942647671089834,0.3299793681452782
qb,432,234,0.10119935913024367,0.3956403300503588,0.2944409709201151
rai,132,123,0.0303220451307597,0.3987356669083075,0.3684136217775478
nevada,658,169,0.02579102618892845,0.3988112683429803,0.37302024215405183
fer,439,131,0.016241790776501834,0.3988264269089016,0.38258463613239974
stephen,2343,372,0.02657194035347109,0.39953508646104396,0.37296314610757286
midget,2017,354,0.0663181791814885,0.3998050785260388,0.33348689934455034
jefferson,668,133,0.014500363866291013,0.4016940062955366,0.3871936424292456
dreaded,773,201,-0.054924461333246646,0.4035095936857739,0.4584340550190205
du,8897,1654,0.05960519799498212,0.40496254022114964,0.34535734222616754
craziness,475,135,0.03187701779150143,0.4052835087353378,0.3734064909438364
rally,1897,537,0.09168938324207775,0.40639019194088355,0.3147008086988058
glowed,1002,109,-0.060517139135006684,0.40665977021105504,0.4671769093460617
dat's,545,307,0.008446545258957383,0.408811538766448,0.4003649935074906
shocker,503,166,-0.12696942307771455,0.409420808651185,0.5363902317288995
your're,365,140,0.009152513628888557,0.4097704702130609,0.4006179565841723
chea,1022,271,-0.027455007538236903,0.4101575423424013,0.43761254988063825
urging,330,104,0.054744586895909844,0.4105136150641111,0.3557690281682013
shane,794,148,0.1376506747847746,0.4106581130842509,0.27300743829947627
brah,1829,270,-0.03854303782251828,0.4107123416278652,0.44925537945038346
wizzy,509,148,0.10638771525896377,0.41079501119713496,0.3044072959381712
willie,2665,1099,-0.0492466188181565,0.41157453605518085,0.46082115487333736
kano,406,120,0.06844833338522727,0.411580741878806,0.34313240849357873
prop,1038,261,0.0158211725350575,0.41242646303044506,0.39660529049538756
leon,678,165,0.10072652452562213,0.41260301905548497,0.3118764945298628
vagrant,374,102,0.04203507945619104,0.41302436345729737,0.3709892840011063
bio,1351,194,0.07811770679132896,0.41425964463898923,0.3361419378476603
ri,3090,467,-0.012584267522169429,0.41466461007409205,0.4272488775962615
terrify,324,143,0.10376706286519144,0.4156196943093271,0.31185263144413566
dah,5418,1984,-0.014881212514485093,0.41564171201540795,0.43052292452989305
yi,3170,1054,0.005227387737605657,0.4164564806173946,0.4112290928797889
poppy,1448,293,-0.045340324897490195,0.4174934175186559,0.46283374241614605
