rank,token,left_count,right_count,min_count,sum_count
1,you,431577,689420,431577,1120997
2,i,399327,608238,399327,1007565
3,and,322890,477066,322890,799956
4,to,308443,489848,308443,798291
5,a,280655,452900,280655,733555
6,me,207768,303937,207768,511705
7,my,165837,244475,165837,410312
8,in,163340,284885,163340,448225
9,of,141720,250171,141720,391891
10,on,126439,194527,126439,320966
11,your,116451,206293,116451,322744
12,love,116381,166637,116381,283018
13,that,112610,170585,112610,283195
14,be,93614,142015,93614,235629
15,all,93427,151640,93427,245067
16,for,88873,152664,88873,241537
17,i'm,87959,148560,87959,236519
18,don't,80362,136363,80362,216725
19,so,74713,123685,74713,198398
20,know,73687,110626,73687,184313
21,but,73587,112252,73587,185839
22,no,70563,122019,70563,192582
23,just,69162,108093,69162,177255
24,do,65801,95562,65801,161363
25,we,65461,125918,65461,191379
26,it's,63241,117895,63241,181136
27,when,60460,95912,60460,156372
28,got,58899,84929,58899,143828
29,can,55482,90807,55482,146289
30,baby,54815,65793,54815,120608
31,now,54015,82952,54015,136967
32,like,52668,91942,52668,144610
33,was,51592,69739,51592,121331
34,down,50478,70792,50478,121270
35,time,48272,76888,48272,125160
36,get,48099,75426,48099,123525
37,if,47007,68646,47007,115653
38,up,46729,85514,46729,132243
39,you're,45547,77707,45547,123254
40,he,44667,62218,44667,106885
41,come,43120,61889,43120,105009
42,she,42256,62282,42256,104538
43,out,42133,80210,42133,122343
44,see,42128,64481,42128,106609
45,go,42081,69009,42081,111090
46,have,41410,62403,41410,103813
47,this,40334,88880,40334,129214
48,are,39369,74317,39369,113686
49,never,37279,66499,37279,103778
50,her,37187,49797,37187,86984
51,way,37016,54272,37016,91288
52,will,35509,63541,35509,99050
53,can't,35186,60603,35186,95789
54,say,33950,63279,33950,97229
55,as,32968,48640,32968,81608
56,from,32830,56238,32830,89068
57,gonna,32328,47644,32328,79972
58,let,32301,44773,32301,77074
59,man,32190,40264,32190,72454
60,make,32096,50684,32096,82780
61,at,31973,51319,31973,83292
62,take,30744,51976,30744,82720
63,want,30276,54857,30276,85133
64,i'll,30255,44513,30255,74768
65,well,29822,37134,29822,66956
66,i've,29658,39513,29658,69171
67,away,28857,45621,28857,74478
68,day,28780,38265,28780,67045
69,back,28505,44262,28505,72767
70,good,27996,31255,27996,59251
71,been,27188,34177,27188,61365
72,night,27185,50357,27185,77542
73,life,26021,41938,26021,67959
74,by,25928,39320,25928,65248
75,right,25876,41845,25876,67721
76,how,25813,38133,25813,63946
77,tell,25383,38907,25383,64290
78,feel,25271,40703,25271,65974
79,more,24435,37570,24435,62005
80,cause,24383,42298,24383,66681
81,here,23844,37815,23844,61659
82,need,23083,38141,23083,61224
83,little,23012,30071,23012,53083
84,said,22685,32670,22685,55355
85,too,22631,37489,22631,60120
86,could,22261,34355,22261,56616
87,long,22104,27177,22104,49281
88,ain't,21406,24522,21406,45928
89,some,21163,33146,21163,54309
90,give,20504,35908,20504,56412
91,again,20172,31388,20172,51560
92,home,20111,21879,20111,41990
93,that's,20060,32406,20060,52466
94,only,19718,32905,19718,52623
95,through,19666,31335,19666,51001
96,had,19618,26388,19618,46006
97,girl,19459,33991,19459,53450
98,then,19163,28775,19163,47938
99,around,19000,28126,19000,47126
100,world,18985,33798,18985,52783
101,keep,18760,27335,18760,46095
102,about,18729,29319,18729,48048
103,or,18513,33876,18513,52389
104,think,18468,29081,18468,47549
105,who,18455,31200,18455,49655
106,won't,17720,28019,17720,45739
107,him,17562,24326,17562,41888
108,mind,17431,24818,17431,42249
109,find,17266,24074,17266,41340
110,wanna,17262,30693,17262,47955
111,why,17234,29958,17234,47192
112,would,16480,21558,16480,38038
113,old,16439,16481,16439,32920
114,eyes,16054,29763,16054,45817
115,every,15869,26152,15869,42021
116,look,15761,27337,15761,43098
117,were,15616,23625,15616,39241
118,gone,15183,17768,15183,32951
119,an,14968,26705,14968,41673
120,people,14890,20788,14890,35678
121,yes,14882,16031,14882,30913
122,still,14548,24485,14548,39033
123,she's,14499,24045,14499,38544
124,ever,14425,21228,14425,35653
125,things,13792,20733,13792,34525
126,them,13587,22000,13587,35587
127,always,13549,24830,13549,38379
