token,source_count,target_count,cosine_before,cosine_after,delta
i,17358048,3348457,0.20081084164841168,0.9041061956539391,0.7032953540055275
you,14004989,3252783,0.20948554033753028,0.9141475862752091,0.7046620459376788
and,8840911,2470837,0.06582262341491174,0.9158377706213804,0.8500151472064686
to,9285121,2421189,0.1141406330721485,0.9112395406794531,0.7970989076073046
a,9497893,2061815,0.08288085257295727,0.9110557484526502,0.828174895879693
me,7106001,1496292,0.0589269123131643,0.9105202814936535,0.8515933691804892
my,7596578,1445390,0.055611428723620536,0.9283672921104937,0.8727558633868732
in,6054495,1424548,0.00257578865016745,0.9009192785894965,0.898343489939329
it,6094157,1281516,0.12279978628926694,0.8992185504165313,0.7764187641272644
your,3852080,1045542,0.09403129967750007,0.9286075508653393,0.8345762511878392
that,4736933,957957,0.1715668451265101,0.882374007365827,0.710807162239317
on,4498020,925218,-0.07723039490925182,0.8743615237750796,0.9515919186843314
i'm,5408643,890193,0.05551342678724462,0.9133980831487463,0.8578846563615017
is,3224626,849437,0.1324227655965984,0.9298098086782436,0.7973870430816452
all,3427011,781615,0.07981363067695707,0.8887833592181721,0.808969728541215
for,3181806,776645,0.09627234143861452,0.8870337137256217,0.7907613722870072
we,3403749,752979,0.15155080242363567,0.9114069488288287,0.759856146405193
be,2994354,691486,0.1376794530822652,0.8699981384671878,0.7323186853849226
so,2700753,639501,0.02670829889728424,0.8902203201358179,0.8635120212385337
this,2828024,638185,0.07675458738617533,0.9155184428234262,0.8387638554372508
like,3669128,605026,0.07463464449862472,0.8762567035886164,0.8016220590899916
but,3015960,596551,0.14127500564548645,0.9048699435486263,0.7635949379031398
don't,3075398,586970,0.07890577582132512,0.9186353827138786,0.8397296068925535
it's,2174428,572554,0.11534730912605921,0.9090535474420965,0.7937062383160374
know,2789029,550659,0.0868756239576972,0.896792785945456,0.8099171619877588
up,3044221,524497,0.09385550396762517,0.8727425760097332,0.7788870720421079
no,2487331,505629,0.041707867323482264,0.908983100310393,0.8672752329869107
just,2632728,495276,0.06420943394104106,0.849713354445759,0.785503920504718
when,2057275,472225,0.1402074348075608,0.9151326645727088,0.774925229765148
love,1770599,427061,0.12073438927570417,0.8633605229748839,0.7426261336991797
now,1859617,425848,0.08079104794192354,0.8459491329257471,0.7651580849838235
get,2061473,416616,0.07569402871068823,0.9007867248222281,0.8250926961115399
can,1624314,403657,0.0706681813176459,0.90394392284436,0.833275741526714
out,1786187,401231,-0.03270352111729974,0.8847641353809843,0.917467656498284
do,1739690,392782,0.12357309187655735,0.8890288186207458,0.7654557267441884
got,2328483,389258,0.09624381452822856,0.8831204850887544,0.7868766705605259
they,2062629,362136,0.12094703257921097,0.8793431689468933,0.7583961363676823
are,1251507,354554,-0.019967922246722603,0.9229167424436219,0.9428846646903445
will,1057599,348580,0.1392162752512043,0.938500147308296,0.7992838720570917
see,1422683,344185,0.1359027992807942,0.9131076370386557,0.7772048377578615
from,1298425,344108,-0.03952637130014292,0.8827173623235709,0.9222437336237138
one,1276466,342307,0.17423080161979537,0.8889179900901755,0.71468718847038
time,1357972,336747,0.013158250832002873,0.8866571505337103,0.8734988997017075
down,1293567,336548,0.07178641941565247,0.8722487209408891,0.8004623015252367
not,1454040,327169,0.032162545600835125,0.8699623359488948,0.8377997903480597
go,1543702,323268,0.04476711711637085,0.8984252846156657,0.8536581674992949
you're,1193133,320097,0.050053714578811505,0.923957155601183,0.8739034410223715
never,1413871,311355,0.11994419406897584,0.9025934866463112,0.7826492925773354
have,1058945,290013,0.1434067019951829,0.9051308558523301,0.7617241538571472
can't,1296697,280715,0.019361047076968417,0.894229384183793,0.8748683371068247
at,1179637,271477,0.09443474732223757,0.8755794382519219,0.7811446909296843
come,912974,264349,-0.031284662075869024,0.8731855245131259,0.9044701865889949
back,1215038,259377,0.11373344943982527,0.8967697674406485,0.7830363180008233
as,895466,255163,-0.03317402775028386,0.8905768945564879,0.9237509223067718
cause,1178031,246488,0.1700612816714205,0.8763714969180856,0.706310215246665
make,1154407,244532,0.058625480460923585,0.8965202326678949,0.8378947522069713
say,1062180,241396,0.07824503449899012,0.8597898638531833,0.7815448293541932
she,1470918,239843,0.03636268247549908,0.8483015237951784,0.8119388413196793
want,1177033,239349,0.10170073208403511,0.8805936798519867,0.7788929477679516
take,1012176,237533,0.10142648055098831,0.9230538248889717,0.8216273443379833
life,903658,232009,0.06230011157587269,0.8939156200960631,0.8316155085201904
let,999854,231326,0.04665857823137556,0.8860289621308619,0.8393703838994864
i'll,917818,226297,0.1273707899571468,0.9256715110119587,0.7983007210548119
how,974291,221684,0.06466086741705195,0.8713670457697802,0.8067061783527283
her,986452,209600,0.0035606995293131598,0.8850958429180018,0.8815351433886887
here,762813,207689,0.14165192664094414,0.8721964812187177,0.7305445545777736
there,623373,200242,0.16966183423767423,0.888594137770377,0.7189323035327028
away,620282,198691,-0.009901391667982835,0.9205476533901222,0.9304490450581051
feel,932195,198372,-0.009845058765073425,0.8957300871079479,0.9055751458730213
by,673738,195839,-0.0845658318459387,0.883886083938454,0.9684519157843927
baby,845475,193959,0.09270584833622968,0.847839243754785,0.7551333954185554
ain't,1414014,190860,0.05976568515854611,0.8616468978556614,0.8018812126971153
right,810425,187113,-0.019493814778647305,0.8696182931332073,0.8891121079118546
where,703290,186078,0.10921344513499387,0.9076160806612588,0.7984026355262649
more,714328,182406,0.07414688210719664,0.8960163103149192,0.8218694282077226
i've,702403,175692,0.16386877909561687,0.9137575195162493,0.7498887404206325
or,689475,175546,0.05459745782812631,0.8708384048251145,0.8162409469969882
been,1012610,175387,0.016919220108950885,0.8790588372667377,0.8621396171577869
wanna,1045755,174880,0.16815167576807555,0.8701395820453695,0.7019879062772939
day,623118,174467,0.14102400111887603,0.9036361605317758,0.7626121594128997
man,809716,174301,0.07121493669875265,0.85048402572861,0.7792690890298574
through,653226,172160,0.06562140944061833,0.9185153939711709,0.8528939845305525
could,680469,170410,0.07975684485172864,0.9208185162901911,0.8410616714384624
that's,837530,162689,0.127672614083488,0.8189386556062781,0.69126604152279
who,650546,160020,0.14242298513457868,0.8786205742408665,0.7361975891062877
tell,785827,159049,0.011383920273017075,0.9111758410832991,0.899791920810282
gonna,598572,157397,0.11776256693326792,0.8971719396354843,0.7794093727022163
us,583573,155277,0.04307218203501127,0.9167819271228919,0.8737097450878806
world,489249,154394,0.14036993016253718,0.8858701088577365,0.7455001786951994
then,769775,154207,0.12100409081588683,0.8838807584601569,0.7628766676442701
about,711070,153657,0.08303381578754836,0.8794805419776451,0.7964467261900968
still,691123,152130,0.0984916364529143,0.8823702322891227,0.7838785958362084
them,760656,148936,0.07001252993094881,0.84337170612182,0.7733591761908711
too,705479,148594,-0.011858381840046074,0.8882323616467919,0.9000907434868379
think,707027,148221,0.012469429277198844,0.8797428574201779,0.867273428142979
night,575551,147560,0.04750752083739323,0.872029165816279,0.8245216449788858
heart,563884,147343,0.12892382502426897,0.8910877189053673,0.7621638938810984
his,478800,145825,0.053810749069351294,0.9065590235922147,0.8527482745228634
only,636804,145608,0.10658792286710295,0.8900608802500278,0.7834729573829249
give,658701,143662,0.12185867243568743,0.8819076699788597,0.7600489975431723
again,451940,143605,0.04677123215088992,0.8834069247220036,0.8366356925711136
keep,737576,142431,0.023121294457594747,0.8976997538136788,0.8745784593560841
there's,436568,139165,0.21239326495655939,0.8931336482764234,0.680740383319864
eyes,446714,137629,0.06195611639733069,0.905336685428816,0.8433805690314853
every,553546,131280,-0.010723558407806096,0.9192509837890578,0.9299745421968639
am,583139,130818,-0.04960488387773981,0.8798142342920018,0.9294191181697415
won't,548106,129976,0.11379943049912006,0.8998647934549104,0.7860653629557903
over,473449,126243,-0.02481588871918965,0.8883857257373624,0.913201614456552
off,650439,122387,-0.08255677298225791,0.866294573157919,0.948851346140177
good,521351,121884,-0.05452034412630548,0.8386289891399915,0.893149333266297
look,560777,121073,0.036925048142700506,0.886858193648671,0.8499331455059705
an,492123,120556,-0.0057221937536975215,0.8798585909602329,0.8855807847139304
said,542758,120284,0.06673767829330907,0.8689544809952244,0.8022168027019154
girl,625280,120124,0.11530048955421816,0.8374156689916805,0.7221151794374624
had,578421,118874,0.11186938892458362,0.8743077114575286,0.762438322532945
would,458064,118322,0.1723428772843602,0.9383840884901807,0.7660412112058206
mind,537324,118106,0.1289021778599681,0.9155506353945649,0.7866484575345969
these,825721,116072,0.09291733342488254,0.8474368693124166,0.7545195358875341
into,413549,115338,-0.01371808468366464,0.893922141952859,0.9076402266365237
little,395596,115299,0.019673014020248437,0.8631608665559533,0.8434878525357048
well,340775,115184,0.06556066822865891,0.8280184722850443,0.7624578040563854
find,415059,112920,0.0958944709280499,0.914955184839028,0.8190607139109781
nothing,430817,112585,0.1315768565200543,0.8989705946927101,0.7673937381726559
always,521496,110935,0.0689066342036863,0.85505200705939,0.7861453728557037
long,374258,108150,-0.03216038868452428,0.8786425278185735,0.9108029165030979
were,386399,106360,0.1100987598060639,0.9209016912247535,0.8108029314186896
things,360641,103758,0.14938117104470172,0.8899478289646509,0.7405666579199491
ever,434066,103146,0.05606191749352431,0.8721198462832641,0.8160579287897398
ya,449123,101830,0.010006005980767698,0.8101658342692954,0.8001598282885277
home,373935,99901,0.10816209618420863,0.8917521705757402,0.7835900743915316
nigga,828352,98375,0.05330575005136784,0.8507340065024735,0.7974282564511057
better,480474,97714,0.008479167467397034,0.8749548421991428,0.8664756747317457
than,430584,97399,3.218591998425946e-05,0.8909879916162822,0.890955805696298
before,332098,94247,0.1651702741682718,0.8658590356219795,0.7006887614537077
everything,370478,92194,0.1241033510019519,0.8935703254406908,0.7694669744387389
him,358234,91004,0.19598388965080665,0.8599473635394083,0.6639634738886016
live,340289,90628,0.11295626470230083,0.8819157564338078,0.768959491731507
hear,311735,90349,0.08575362753218413,0.9013650497459784,0.8156114222137942
face,356682,90254,-0.008358562741405971,0.8918322568546843,0.9001908195960903
new,414832,90175,-0.05408668407696662,0.8283208407343721,0.8824075248113387
gone,368855,89834,-0.038973539016762385,0.8206236875598181,0.8595972265765804
gotta,539304,89529,0.09175167980797425,0.8447314102809242,0.75297973047295
put,499610,89331,0.03639725085324567,0.8664576969661115,0.8300604461128659
head,385464,88783,0.056673109106007834,0.8673989800449031,0.8107258709388953
