rank,token,left_count,right_count,min_count,sum_count
294,morning,8303,16432,8303,24735
295,bring,8301,24599,8301,32900
296,chorus,8298,28315,8298,36613
297,today,8288,18005,8288,26293
298,we've,8238,14472,8238,22710
299,roll,8236,16331,8236,24567
300,each,8169,15161,8169,23330
301,heard,8107,19026,8107,27133
302,sometimes,8103,19619,8103,27722
303,yourself,8097,18584,8097,26681
304,hope,8067,21923,8067,29990
305,late,8067,14197,8067,22264
306,friends,8055,18149,8055,26204
307,hell,8025,21284,8025,29309
308,party,7944,11510,7944,19454
309,tears,7907,18705,7907,26612
310,very,7879,13763,7879,21642
311,deep,7836,23449,7836,31285
312,fool,7821,15342,7821,23163
313,running,7747,13508,7747,21255
314,strong,7721,16511,7721,24232
315,house,7697,18946,7697,26643
316,em,7682,34841,7682,42523
317,alright,7673,16830,7673,24503
318,open,7659,21505,7659,29164
319,kiss,7644,17265,7644,24909
320,dark,7632,18715,7632,26347
321,city,7618,13563,7618,21181
322,power,7603,14829,7603,22432
323,years,7593,18357,7593,25950
324,forget,7551,16688,7551,24239
325,somebody,7469,13181,7469,20650
326,matter,7420,16524,7420,23944
327,fun,7417,11694,7417,19111
328,heaven,7406,17581,7406,24987
329,hide,7397,14481,7397,21878
330,saw,7389,16876,7389,24265
331,ride,7380,22643,7380,30023
332,set,7339,17941,7339,25280
333,game,7323,22645,7323,29968
334,till,7295,16630,7295,23925
335,until,7281,19069,7281,26350
336,mi,8366,7258,7258,15624
337,land,7225,15806,7225,23031
338,wild,7219,11317,7219,18536
339,death,7155,20965,7155,28120
340,seems,7103,15434,7103,22537
341,white,7038,15654,7038,22692
342,blood,7037,23073,7037,30110
343,fly,6996,20274,6996,27270
344,such,6982,12029,6982,19011
345,nobody,6956,15083,6956,22039
346,wind,6949,15032,6949,21981
347,though,6877,17720,6877,24597
348,wish,6830,18555,6830,25385
349,went,6798,16096,6798,22894
350,smile,6796,16348,6796,23144
351,shake,6780,10317,6780,17097
352,else,6770,14698,6770,21468
353,lie,6714,17239,6714,23953
354,red,6608,15481,6608,22089
355,road,6560,14799,6560,21359
356,arms,6558,13546,6558,20104
357,feet,6552,13556,6552,20108
358,sleep,6542,17879,6542,24421
359,room,6508,14157,6508,20665
360,fine,6482,13244,6482,19726
361,burning,6408,11575,6408,17983
362,goodbye,6403,11641,6403,18044
363,ask,6369,15887,6369,22256
364,soon,6325,14208,6325,20533
365,does,6305,13339,6305,19644
366,says,6305,11949,6305,18254
367,wonder,6294,14437,6294,20731
368,war,6255,13560,6255,19815
369,loving,6249,9532,6249,15781
370,anything,6240,15093,6240,21333
371,who's,6219,13050,6219,19269
372,til,6201,15614,6201,21815
373,men,6148,11788,6148,17936
374,fear,6121,17903,6121,24024
375,along,6109,12684,6109,18793
376,ground,6078,15718,6078,21796
377,trying,6036,16255,6036,22291
378,couldn't,6023,14739,6023,20762
379,pretty,6017,11249,6017,17266
380,control,6005,12294,6005,18299
381,its,5989,19207,5989,25196
382,jesus,5954,13450,5954,19404
383,part,5929,12454,5929,18383
384,gave,5909,13422,5909,19331
385,honey,5893,10868,5893,16761
386,takes,5880,11031,5880,16911
387,truth,5871,17156,5871,23027
388,hearts,5850,8771,5850,14621
389,hit,5845,24591,5845,30436
390,lover,5826,8295,5826,14121
391,next,5822,16677,5822,22499
392,king,5820,12126,5820,17946
393,broken,5802,13413,5802,19215
394,walking,5797,10535,5797,16332
395,pay,5781,12819,5781,18600
396,lot,5779,13126,5779,18905
397,tried,5752,14047,5752,19799
398,you'd,5729,11696,5729,17425
399,doesn't,5723,12021,5723,17744
400,air,5722,13698,5722,19420
401,moon,5696,13761,5696,19457
402,whole,5694,18390,5694,24084
403,children,5693,9956,5693,15649
404,reason,5662,12888,5662,18550
405,lady,5657,9035,5657,14692
406,sea,5600,12463,5600,18063
407,born,5557,14091,5557,19648
408,step,5505,15371,5505,20876
409,full,5480,15996,5480,21476
410,tomorrow,5476,11003,5476,16479
411,save,5451,12186,5451,17637
412,child,5433,13493,5433,18926
413,upon,5374,13730,5374,19104
414,di,5363,6163,5363,11526
415,standing,5336,9998,5336,15334
416,wanted,5298,13118,5298,18416
417,wall,5295,9293,5295,14588
418,kill,5276,18432,5276,23708
419,fast,5276,11369,5276,16645
420,eye,5254,12839,5254,18093
421,miss,5250,12223,5250,17473
422,bed,5245,12731,5245,17976
423,lights,5236,9206,5236,14442
424,burn,5213,13551,5213,18764
425,use,5208,11164,5208,16372
426,gets,5194,12875,5194,18069
427,meet,5173,10943,5173,16116
428,lay,5170,14106,5170,19276
429,water,5133,13329,5133,18462
430,guess,5119,14577,5119,19696
431,between,5080,11943,5080,17023
432,tight,5070,11158,5070,16228
433,seem,5027,10358,5027,15385
434,past,4974,14352,4974,19326
435,floor,4969,10809,4969,15778
436,apart,4969,9713,4969,14682
437,da,4966,14910,4966,19876
438,talking,4964,10128,4964,15092
439,hate,4942,19251,4942,24193
440,dancing,4925,6476,4925,11401
441,voice,4922,10889,4922,15811
442,doing,4917,10730,4917,15647
443,thinking,4888,12831,4888,17719
444,stars,4883,12160,4883,17043
445,great,4859,11043,4859,15902
446,car,4854,11082,4854,15936
447,lives,4817,10166,4817,14983
448,since,4794,13708,4794,18502
449,learn,4787,10284,4787,15071
450,above,4781,12360,4781,17141
451,being,4766,12868,4766,17634
452,sad,4744,10013,4744,14757
453,called,4714,10282,4714,14996
454,shine,4704,11834,4704,16538
455,earth,4696,13615,4696,18311
456,calling,4690,9532,4690,14222
457,turned,4685,9989,4685,14674
458,anymore,4683,9408,4683,14091
459,bout,4636,15300,4636,19936
460,top,4591,11983,4591,16574
461,reach,4559,10215,4559,14774
462,follow,4557,11386,4557,15943
463,babe,4533,7476,4533,12009
464,feels,4531,11088,4531,15619
465,slow,4510,11423,4510,15933
466,loved,4480,8870,4480,13350
467,rest,4434,13090,4434,17524
468,lovin,4430,7086,4430,11516
469,win,4421,7260,4421,11681
470,sit,4353,11026,4353,15379
471,streets,4338,10854,4338,15192
472,across,4333,9386,4333,13719
473,blow,4324,12153,4324,16477
474,wouldn't,4315,10752,4315,15067
475,cut,4309,12262,4309,16571
476,everyone,4247,9565,4247,13812
477,hair,4244,10034,4244,14278
478,peace,4225,14405,4225,18630
479,goin,4213,12688,4213,16901
480,mother,4211,11915,4211,16126
481,heat,4193,7110,4193,11303
482,straight,4188,15188,4188,19376
483,drive,4187,9505,4187,13692
484,caught,4128,10544,4128,14672
485,taking,4112,8707,4112,12819
486,darling,4112,5829,4112,9941
487,number,4098,7158,4098,11256
488,wake,4050,10997,4050,15047
489,near,4036,8584,4036,12620
490,yet,4032,10979,4032,15011
491,gold,4025,9312,4025,13337
492,crying,4015,7797,4015,11812
493,story,4007,8159,4007,12166
494,magic,4006,5652,4006,9658
495,son,4005,13389,4005,17394
496,sight,4005,7713,4005,11718
497,mama,3995,8634,3995,12629
498,keeps,3995,8442,3995,12437
499,started,3990,8789,3990,12779
500,train,3975,7920,3975,11895
501,moment,3973,8482,3973,12455
502,afraid,3972,9832,3972,13804
503,clear,3969,9528,3969,13497
504,looks,3938,7174,3938,11112
505,shout,3927,4880,3927,8807
506,river,3915,9260,3915,13175
507,trouble,3914,6865,3914,10779
508,gun,3911,12046,3911,15957
509,watching,3906,7408,3906,11314
510,angel,3893,8609,3893,12502
511,both,3887,8304,3887,12191
512,loves,3883,6516,3883,10399
513,needs,3882,7454,3882,11336
514,share,3865,7061,3865,10926
515,ho,3841,10117,3841,13958
516,radio,3824,5243,3824,9067
517,isn't,3799,7042,3799,10841
518,brother,3784,11571,3784,15355
519,holding,3762,7741,3762,11503
520,tired,3755,9567,3755,13322
521,four,3742,9987,3742,13729
522,different,3740,8699,3740,12439
523,which,3728,11087,3728,14815
524,future,3719,8635,3719,12354
525,read,3699,7904,3699,11603
526,desire,3670,6180,3670,9850
527,empty,3666,8763,3666,12429
528,nothin,3657,10566,3657,14223
529,grow,3652,8266,3652,11918
530,darkness,3650,9973,3650,13623
531,answer,3642,6488,3642,10130
532,everywhere,3638,6704,3638,10342
533,strange,3629,7149,3629,10778
534,rise,3626,9538,3626,13164
535,outside,3626,8511,3626,12137
536,throw,3612,10576,3612,14188
537,eat,3610,8625,3610,12235
538,looked,3596,7248,3596,10844
539,drink,3583,9989,3583,13572
540,low,3578,11160,3578,14738
541,pass,3575,10186,3575,13761
542,joy,3568,7926,3568,11494
543,lookin,3562,8476,3562,12038
544,met,3560,7732,3560,11292
545,y'all,3549,19362,3549,22911
546,yours,3543,8039,3543,11582
547,turning,3532,6709,3532,10241
548,blues,3527,6582,3527,10109
549,moving,3524,6396,3524,9920
550,comin,3516,12446,3516,15962
551,catch,3506,11039,3506,14545
552,known,3499,8792,3499,12291
553,they'll,3488,6465,3488,9953
554,lovers,3477,3924,3477,7401
555,evil,3474,9246,3474,12720
556,carry,3457,7538,3457,10995
557,ways,3455,9107,3455,12562
558,laugh,3433,7546,3433,10979
559,warm,3426,6745,3426,10171
560,shot,3423,9420,3423,12843
561,dem,3422,9973,3422,13395
562,cross,3402,8929,3402,12331
563,send,3397,7873,3397,11270
564,guy,3391,6539,3391,9930
565,check,3386,17171,3386,20557
566,he'll,3377,5839,3377,9216
567,window,3371,7379,3371,10750
568,knees,3362,8128,3362,11490
569,mad,3345,11095,3345,14440
570,shall,3321,10001,3321,13322
571,summer,3312,7593,3312,10905
572,five,3309,9045,3309,12354
573,scream,3305,6843,3305,10148
574,tear,3298,7641,3298,10939
575,speak,3285,9122,3285,12407
576,wasn't,3285,8910,3285,12195
577,special,3279,5194,3279,8473
578,stone,3272,7664,3272,10936
579,pray,3266,10141,3266,13407
580,school,3263,7675,3263,10938
581,leaving,3263,7233,3263,10496
582,buy,3259,7187,3259,10446
583,funky,3248,6839,3248,10087
584,rhythm,3243,5445,3243,8688
585,cannot,3237,9411,3237,12648
586,freedom,3232,6731,3232,9963
587,poor,3210,6051,3210,9261
588,perfect,3205,7093,3205,10298
589,rap,3194,9684,3194,12878
590,blame,3191,7736,3191,10927
591,ring,3185,6949,3185,10134
592,midnight,3184,3839,3184,7023
593,style,3183,10461,3183,13644
594,sorry,3172,8151,3172,11323
595,giving,3164,6766,3164,9930
596,livin,3159,8265,3159,11424
597,hang,3140,7754,3140,10894
598,walls,3134,6912,3134,10046
599,trust,3126,10427,3126,13553
600,christmas,3115,8690,3115,11805
601,skin,3114,10174,3114,13288
602,half,3107,9670,3107,12777
603,gimme,3090,5019,3090,8109
604,holy,3082,7870,3082,10952
605,ice,3064,7380,3064,10444
606,telling,3051,6007,3051,9058
607,she'll,3050,5086,3050,8136
608,closer,3049,5715,3049,8764
609,dreaming,3045,5941,3045,8986
610,working,3045,4297,3045,7342
611,sign,3037,6841,3037,9878
612,singing,3033,6251,3033,9284
613,father,3028,8222,3028,11250
614,pride,3024,7271,3024,10295
615,brain,3014,10101,3014,13115
616,second,2991,7106,2991,10097
617,lips,2975,7494,2975,10469
618,beautiful,2972,9654,2972,12626
619,dear,2967,6775,2967,9742
620,tough,2967,3717,2967,6684
621,shame,2963,7463,2963,10426
622,year,2944,8515,2944,11459
623,walked,2939,6324,2939,9263
624,green,2937,8760,2937,11697
625,shadows,2931,6050,2931,8981
626,phone,2929,7059,2929,9988
627,de,2928,4654,2928,7582
628,shining,2926,5944,2926,8870
629,mouth,2912,9744,2912,12656
630,pull,2911,9964,2911,12875
631,worry,2890,6325,2890,9215
632,loud,2883,5368,2883,8251
633,doubt,2877,8045,2877,10922
634,dying,2877,7801,2877,10678
635,fuck,2876,40452,2876,43328
636,thousand,2876,7079,2876,9955
637,talkin,2873,7443,2873,10316
638,space,2870,7201,2870,10071
639,glory,2868,6060,2868,8928
640,secret,2868,5519,2868,8387
641,human,2849,7789,2849,10638
642,million,2849,6808,2849,9657
643,someday,2847,6362,2847,9209
644,daddy,2840,7720,2840,10560
645,breath,2836,9056,2836,11892
646,breaking,2835,4669,2835,7504
647,longer,2832,6279,2832,9111
648,ba,2831,6393,2831,9224
649,rockin,2828,3273,2828,6101
650,fill,2801,6771,2801,9572
651,shit,2798,51237,2798,54035
652,shoes,2798,5628,2798,8426
653,doin,2797,7680,2797,10477
654,wear,2795,6468,2795,9263
655,runnin,2791,5988,2791,8779
656,groove,2788,4147,2788,6935
657,means,2787,6645,2787,9432
658,memories,2785,6239,2785,9024
659,country,2774,4729,2774,7503
660,treat,2770,5213,2770,7983
661,fade,2758,7644,2758,10402
662,memory,2756,5344,2756,8100
663,ones,2750,8186,2750,10936
664,news,2746,4684,2746,7430
665,hour,2737,5729,2737,8466
666,stranger,2735,3397,2735,6132
667,jump,2732,7506,2732,10238
668,spirit,2724,6493,2724,9217
669,within,2721,9123,2721,11844
670,point,2719,7684,2719,10403
671,cos,2718,5941,2718,8659
672,price,2715,4842,2715,7557
673,rhyme,2709,7783,2709,10492
674,faith,2704,8995,2704,11699
675,promise,2702,6926,2702,9628
676,pick,2697,7353,2697,10050
677,ago,2687,5794,2687,8481
678,ten,2684,6964,2684,9648
679,ladies,2678,4397,2678,7075
680,worth,2677,6834,2677,9511
681,women,2669,4857,2669,7526
682,glad,2663,4859,2663,7522
683,taste,2661,7828,2661,10489
684,push,2661,6104,2661,8765
685,damn,2656,12998,2656,15654
686,here's,2645,6401,2645,9046
687,anyone,2639,5713,2639,8352
688,fighting,2638,4247,2638,6885
689,drop,2636,11659,2636,14295
690,hello,2634,5300,2634,7934
691,waste,2605,6449,2605,9054
692,kids,2603,8516,2603,11119
693,almost,2598,5293,2598,7891
694,jam,2596,4163,2596,6759
695,turns,2594,5482,2594,8076
696,small,2590,6604,2590,9194
697,happen,2584,5288,2584,7872
698,lying,2574,5555,2574,8129
699,paradise,2563,4206,2563,6769
700,front,2562,9274,2562,11836
701,fi,2548,4790,2548,7338
702,race,2545,5331,2545,7876
703,dirty,2542,7448,2542,9990
704,loose,2541,4807,2541,7348
705,kick,2538,10377,2538,12915
706,died,2531,6629,2531,9160
707,wine,2528,5272,2528,7800
708,broke,2527,8063,2527,10590
709,minute,2518,5517,2518,8035
710,danger,2517,2869,2517,5386
711,changed,2516,6476,2516,8992
712,crime,2506,5681,2506,8187
713,miles,2495,5864,2495,8359
714,job,2491,5508,2491,7999
715,devil,2469,6887,2469,9356
716,sense,2467,6695,2467,9162
717,quite,2459,4909,2459,7368
718,dawn,2458,6310,2458,8768
719,jah,3286,2456,2456,5742
720,c'mon,2454,5902,2454,8356
721,searching,2449,4745,2449,7194
722,finally,2433,6388,2433,8821
723,count,2430,5025,2430,7455
724,flame,2427,4810,2427,7237
725,rules,2426,4872,2426,7298
726,funk,2423,5980,2423,8403
727,belong,2419,5402,2419,7821
728,sex,2411,6747,2411,9158
729,sin,2407,6934,2407,9341
730,storm,2407,5562,2407,7969
731,sick,2406,10200,2406,12606
732,thoughts,2401,9305,2401,11706
733,choose,2398,5686,2398,8084
734,begin,2388,5391,2388,7779
735,middle,2385,5215,2385,7600
736,wife,2385,4999,2385,7384
737,picture,2381,6356,2381,8737
738,tryin,2379,9695,2379,12074
739,ahead,2377,5260,2377,7637
740,played,2362,5531,2362,7893
741,queen,2361,5485,2361,7846
742,sitting,2359,5211,2359,7570
743,kid,2357,8953,2357,11310
744,games,2356,3907,2356,6263
745,whatever,2351,7855,2351,10206
746,few,2351,5865,2351,8216
747,key,2346,4950,2346,7296
748,songs,2346,4940,2346,7286
749,hungry,2343,3352,2343,5695
750,tv,2339,4785,2339,7124
751,master,2333,5210,2333,7543
752,everybody's,2333,4144,2333,6477
753,shoot,2331,6403,2331,8734
754,held,2330,5195,2330,7525
755,starts,2325,4461,2325,6786
756,faces,2324,4756,2324,7080
757,passion,2313,3846,2313,6159
758,state,2309,6654,2309,8963
759,taken,2304,5081,2304,7385
760,family,2303,7807,2303,10110
761,everyday,2297,6297,2297,8594
762,hip,2297,6279,2297,8576
763,freak,2294,4986,2294,7280
764,seven,2292,5970,2292,8262
765,wide,2289,6664,2289,8953
766,mess,2289,4904,2289,7193
767,having,2272,4853,2272,7125
768,sister,2259,5094,2259,7353
769,six,2253,7318,2253,9571
770,wings,2251,6777,2251,9028
771,band,2249,4989,2249,7238
772,fresh,2246,3689,2246,5935
773,losing,2244,4868,2244,7112
774,luck,2244,4605,2244,6849
775,law,2242,4444,2242,6686
776,realize,2231,5875,2231,8106
777,they've,2227,3619,2227,5846
778,write,2219,5491,2219,7710
779,clean,2214,6180,2214,8394
780,romance,2214,2339,2214,4553
781,angels,2207,6622,2207,8829
782,edge,2207,4106,2207,6313
783,hoo,2205,4106,2205,6311
784,thunder,2203,3533,2203,5736
785,boogie,2199,2798,2199,4997
786,lucky,2198,3941,2198,6139
787,return,2197,5412,2197,7609
788,mirror,2195,4683,2195,6878
789,clothes,2194,5425,2194,7619
790,steal,2188,4252,2188,6440
791,smoke,2182,10345,2182,12527
792,book,2178,4824,2178,7002
793,mountain,2175,4748,2175,6923
794,dust,2164,6158,2164,8322
795,strength,2159,5464,2159,7623
796,man's,2158,4195,2158,6353
797,scene,2157,5197,2157,7354
798,dry,2150,5440,2150,7590
799,flesh,2142,7071,2142,9213
800,sand,2140,4660,2140,6800
801,piece,2138,5889,2138,8027
802,west,2138,5836,2138,7974
803,scared,2132,6386,2132,8518
804,beyond,2130,7383,2130,9513
805,golden,2120,4334,2120,6454
806,others,2118,4826,2118,6944
807,weak,2117,6568,2117,8685
808,mic,2105,7537,2105,9642
809,ball,2104,5077,2104,7181
810,lines,2104,4533,2104,6637
811,insane,2098,5500,2098,7598
812,rhymes,2094,6136,2094,8230
813,brand,2094,4404,2094,6498
814,learned,2092,5064,2092,7156
815,praise,2089,4501,2089,6590
816,stick,2088,6784,2088,8872
817,fantasy,2087,2960,2087,5047
818,machine,2080,3979,2080,6059
819,slip,2079,4730,2079,6809
820,stuff,2077,4927,2077,7004
821,silver,2073,4313,2073,6386
822,mercy,2072,5375,2072,7447
823,needed,2070,4157,2070,6227
824,hanging,2068,4485,2068,6553
825,ocean,2064,5323,2064,7387
826,driving,2057,4071,2057,6128
827,we'd,2055,4158,2055,6213
828,bet,2054,5155,2054,7209
829,heavy,2053,4698,2053,6751
830,deal,2047,6346,2047,8393
