rank,token,left_count,right_count,min_count,sum_count
1,you,689420,1511795,689420,2201215
2,i,608238,1556523,608238,2164761
3,to,489848,1169392,489848,1659240
4,and,477066,1170051,477066,1647117
5,a,452900,1046131,452900,1499031
6,me,303937,704643,303937,1008580
7,in,284885,682320,284885,967205
8,it,250256,572474,250256,822730
9,of,250171,618674,250171,868845
10,your,206293,483638,206293,689931
11,on,194527,448619,194527,643146
12,that,170585,434993,170585,605578
13,love,166637,260428,166637,427065
14,is,165739,400729,165739,566468
15,for,152664,364611,152664,517275
16,all,151640,351808,151640,503448
17,i'm,148560,379881,148560,528441
18,be,142015,339241,142015,481256
19,we,125918,299058,125918,424976
20,so,123685,291868,123685,415553
21,no,122019,256214,122019,378233
22,it's,117895,260238,117895,378133
23,but,112252,271328,112252,383580
24,know,110626,257462,110626,368088
25,with,108158,303938,108158,412096
26,just,108093,222036,108093,330129
27,when,95912,221806,95912,317718
28,what,92552,234319,92552,326871
29,like,91942,270076,91942,362018
30,can,90807,193523,90807,284330
31,this,88880,251278,88880,340158
32,up,85514,234338,85514,319852
33,got,84929,195121,84929,280050
34,now,82952,198771,82952,281723
35,out,80210,183645,80210,263855
36,one,78269,170312,78269,248581
37,time,76888,167013,76888,243901
38,get,75426,194391,75426,269817
39,are,74317,156072,74317,230389
40,down,70792,172654,70792,243446
41,was,69739,168207,69739,237946
42,go,69009,145254,69009,214263
43,if,68646,170752,68646,239398
44,they,68176,165057,68176,233233
45,never,66499,145002,66499,211501
46,see,64481,160210,64481,224691
47,will,63541,155446,63541,218987
48,say,63279,115480,63279,178759
49,have,62403,139742,62403,202145
50,she,62282,123607,62282,185889
51,he,62218,129784,62218,192002
52,come,61889,134341,61889,196230
53,can't,60603,134130,60603,194733
54,not,58825,140216,58825,199041
55,want,54857,116339,54857,171196
56,way,54272,119839,54272,174111
57,take,51976,112403,51976,164379
58,at,51319,123592,51319,174911
59,make,50684,111963,50684,162647
60,night,50357,77665,50357,128022
61,her,49797,107223,49797,157020
62,there,48785,105482,48785,154267
63,as,48640,127236,48640,175876
64,away,45621,91805,45621,137426
65,heart,45475,77943,45475,123418
66,let,44773,102359,44773,147132
67,i'll,44513,105522,44513,150035
68,back,44262,112045,44262,156307
69,cause,42298,119258,42298,161556
70,life,41938,106223,41938,148161
71,right,41845,85570,41845,127415
72,feel,40703,92563,40703,133266
73,i've,39513,83395,39513,122908
74,by,39320,99586,39320,138906
75,tell,38907,77219,38907,116126
76,there's,38549,70714,38549,109263
77,his,38392,84964,38392,123356
78,day,38265,85241,38265,123506
79,need,38141,81212,38141,119353
80,how,38133,99406,38133,137539
81,here,37815,92414,37815,130229
82,too,37489,73782,37489,111271
83,well,37134,67475,37134,104609
84,give,35908,74539,35908,110447
85,our,35574,75001,35574,110575
86,could,34355,78299,34355,112654
87,been,34177,76648,34177,110825
88,girl,33991,53928,33991,87919
89,or,33876,84562,33876,118438
90,world,33798,76094,33798,109892
91,some,33146,80759,33146,113905
92,only,32905,68988,32905,101893
93,said,32670,63894,32670,96564
94,that's,32406,80548,32406,112954
95,again,31388,65585,31388,96973
96,through,31335,80855,31335,112190
97,good,31255,64845,31255,96100
98,who,31200,80157,31200,111357
99,wanna,30693,80423,30693,111116
100,why,29958,69707,29958,99665
101,eyes,29763,64305,29763,94068
102,about,29319,76892,29319,106211
103,think,29081,71599,29081,100680
104,then,28775,72725,28775,101500
105,we're,28745,47388,28745,76133
106,around,28126,62960,28126,91086
107,won't,28019,59047,28019,87066
108,look,27337,54742,27337,82079
109,long,27177,53822,27177,80999
110,over,27018,58254,27018,85272
111,an,26705,59693,26705,86398
112,had,26388,60832,26388,87220
113,every,26152,59579,26152,85731
114,us,25101,60253,25101,85354
115,always,24830,53405,24830,78235
116,mind,24818,63595,24818,88413
117,ain't,24522,82772,24522,107294
118,him,24326,50980,24326,75306
119,find,24074,52311,24074,76385
120,she's,24045,37581,24045,61626
121,were,23625,48754,23625,72379
122,hear,22107,46175,22107,68282
123,them,22000,62461,22000,84461
124,home,21879,45643,21879,67522
125,you've,21877,36979,21877,58856
126,would,21558,55006,21558,76564
127,rock,21387,26193,21387,47580
128,their,21296,44025,21296,65321
129,he's,21234,35218,21234,56452
130,ever,21228,48344,21228,69572
131,hold,20944,40937,20944,61881
132,really,20839,41051,20839,61890
133,people,20788,38713,20788,59501
134,things,20733,49034,20733,69767
135,into,20566,53046,20566,73612
136,you'll,19513,39121,19513,58634
137,better,19255,43033,19255,62288
138,stop,19107,38987,19107,58094
139,another,19019,41411,19019,60430
140,nothing,18901,47914,18901,66815
141,turn,18877,35038,18877,53915
142,am,18830,52635,18830,71465
143,before,18059,42300,18059,60359
144,light,18053,39422,18053,57475
145,new,17906,40038,17906,57944
146,has,17869,39627,17869,57496
147,gone,17768,41525,17768,59293
148,run,17651,34694,17651,52345
149,going,17629,37841,17629,55470
150,try,17597,42574,17597,60171
151,alone,17313,36095,17313,53408
152,thing,17016,36666,17016,53682
153,call,16881,38605,16881,55486
154,something,16762,38339,16762,55101
155,hard,16748,35681,16748,52429
156,believe,16659,39123,16659,55782
157,dance,16531,19400,16531,35931
158,old,16481,34195,16481,50676
159,gotta,16424,43592,16424,60016
160,than,16186,43692,16186,59878
161,place,16095,34850,16095,50945
162,yes,16031,29489,16031,45520
163,let's,15580,28103,15580,43683
164,leave,15475,36633,15475,52108
165,off,15462,52316,15462,67778
166,inside,15444,41026,15444,56470
167,play,15082,29815,15082,44897
168,put,15081,39588,15081,54669
169,true,15025,32364,15025,47389
170,last,14993,35076,14993,50069
171,show,14948,34015,14948,48963
172,head,14823,43130,14823,57953
173,two,14736,34902,14736,49638
174,must,14698,28969,14698,43667
175,dream,14658,28655,14658,43313
176,fire,14420,24624,14420,39044
177,i'd,14312,32631,14312,46943
178,hand,14148,31900,14148,46048
179,name,14101,31811,14101,45912
180,bad,14091,26074,14091,40165
181,left,13756,34674,13756,48430
182,mine,13643,28854,13643,42497
183,boy,13543,27770,13543,41313
184,free,13458,31726,13458,45184
185,please,13417,28332,13417,41749
186,wrong,13353,29434,13353,42787
187,stand,13227,25273,13227,38500
188,talk,13195,23326,13195,36521
189,big,13193,32754,13193,45947
190,should,13164,30311,13164,43475
191,those,13106,27691,13106,40797
192,walk,12966,27615,12966,40581
193,without,12950,30594,12950,43544
194,cry,12906,25595,12906,38501
195,same,12712,30666,12712,43378
196,we'll,12659,23536,12659,36195
197,everything,12611,34017,12611,46628
198,together,12565,23696,12565,36261
199,someone,12487,22948,12487,35435
200,fall,12473,29738,12473,42211
201,real,12390,38605,12390,50995
202,soul,12283,34654,12283,46937
203,they're,12209,20202,12209,32411
204,beat,12163,15417,12163,27580
205,sweet,12146,22859,12146,35005
206,feeling,12146,22788,12146,34934
207,lord,12098,25024,12098,37122
208,comes,11947,25511,11947,37458
209,other,11827,26170,11827,37997
210,lost,11750,28661,11750,40411
211,own,11723,28733,11723,40456
212,these,11705,43188,11705,54893
213,break,11658,25970,11658,37628
214,cold,11464,23598,11464,35062
215,change,11432,25417,11432,36849
216,money,11424,28236,11424,39660
217,looking,11315,21243,11315,32558
218,high,11240,29050,11240,40290
219,dreams,11170,24124,11170,35294
220,sun,11114,28318,11114,39432
221,start,11111,22162,11111,33273
222,far,11104,25467,11104,36571
223,because,11071,27305,11071,38376
224,while,11047,29536,11047,40583
225,ya,11026,50624,11026,61650
226,forever,10980,25365,10980,36345
227,waiting,10941,21142,10941,32083
228,thought,10925,29267,10925,40192
229,living,10825,20935,10825,31760
230,god,10754,39244,10754,49998
231,wait,10564,20302,10564,30866
232,enough,10559,23221,10559,33780
233,body,10538,21626,10538,32164
234,town,10535,20107,10535,30642
235,door,10486,20986,10486,31472
236,fight,10472,17209,10472,27681
237,remember,10442,23537,10442,33979
238,lonely,10387,15271,10387,25658
239,move,10374,21158,10374,31532
240,touch,10373,18698,10373,29071
241,coming,10315,24351,10315,34666
242,sing,10264,20140,10264,30404
243,side,10143,25312,10143,35455
244,came,10078,23137,10078,33215
245,didn't,10061,24224,10061,34285
246,hands,10048,24176,10048,34224
247,blue,9995,20704,9995,30699
248,song,9971,21136,9971,31107
249,pain,9954,31168,9954,41122
250,round,9940,19869,9940,29809
251,found,9859,20629,9859,30488
252,once,9852,23670,9852,33522
253,any,9759,20427,9759,30186
254,times,9698,22071,9698,31769
255,ready,9693,18714,9693,28407
256,rain,9644,21565,9644,31209
257,might,9582,22638,9582,32220
258,black,9538,32148,9538,41686
259,words,9528,23640,9528,33168
260,music,9522,14027,9522,23549
261,days,9516,24274,9516,33790
262,line,9497,17777,9497,27274
263,work,9419,17598,9419,27017
264,knew,9416,20370,9416,29786
265,done,9415,25736,9415,35151
266,sure,9363,19344,9363,28707
267,may,9362,18410,9362,27772
268,goes,9302,19779,9302,29081
269,help,9290,19900,9290,29190
270,maybe,9205,21371,9205,30576
271,crazy,9161,18074,9161,27235
272,young,9063,17051,9063,26114
273,sky,9062,24077,9062,33139
274,woman,9053,15052,9053,24105
275,hot,9038,15495,9038,24533
276,listen,8971,17482,8971,26453
277,girls,8911,11938,8911,20849
278,friend,8853,21077,8853,29930
279,told,8847,21284,8847,30131
280,watch,8743,24682,8743,33425
281,after,8741,19082,8741,27823
282,close,8681,19937,8681,28618
283,myself,8678,24584,8678,33262
284,dead,8608,28549,8608,37157
285,understand,8597,19692,8597,28289
286,kind,8560,16624,8560,25184
287,lose,8559,16216,8559,24775
288,behind,8553,20063,8553,28616
289,chance,8427,13784,8427,22211
290,seen,8372,20878,8372,29250
291,easy,8368,14656,8368,23024
292,used,8364,20434,8364,28798
293,took,8341,18713,8341,27054
