token,source_count,target_count,cosine_before,cosine_after,delta
hee,1131,1250,0.05137495787599062,0.30551374839067086,0.25413879051468025
co,637,254,-0.005942746682324521,0.3094561920029819,0.31539893868530644
anna,417,118,0.12027203673260561,0.3125388765258349,0.19226683979322928
latin,410,223,0.07336725442517754,0.325862328088123,0.25249507366294544
woo,3386,2239,-0.04358096222426598,0.3260522011052499,0.3696331633295159
loco,563,285,-0.04468243981078173,0.33412028093142476,0.3788027207422065
ski,543,233,0.08235336141194233,0.34352703714467947,0.26117367573273714
ar,332,195,0.05939539243274511,0.35152796241918705,0.29213256998644194
judy,273,206,0.22406178024581433,0.354200477558555,0.13013869731274066
ali,393,153,0.07951638649148654,0.35667678653715584,0.27716040004566933
mostly,567,177,0.2149045218215897,0.35833635424096266,0.14343183241937296
bob,1425,562,0.09366324138533608,0.36458378685484405,0.27092054546950795
connect,863,139,-0.016416482603668403,0.3649369654084784,0.3813534480121468
ma,2895,2175,-0.005198183130846919,0.37175009956744803,0.37694828269829495
aw,1595,693,0.11428704901450613,0.3733653320087459,0.25907828299423974
banana,502,245,0.006591352921123048,0.3772140798198418,0.3706227268987187
post,1020,370,0.11179871130682643,0.3902286197012669,0.27842990839444043
frankie,238,161,0.09443142246865265,0.39121053857135185,0.2967791161026992
ra,569,277,-0.01566427987697939,0.39125640879488865,0.40692068867186804
sole,395,197,0.04396155869210789,0.3917020001202894,0.3477404414281815
louie,434,307,0.12896320771468076,0.3938082213636941,0.26484501364901336
ninja,264,129,0.10829523353094932,0.3950465781844126,0.28675134465346325
stoned,980,304,0.001568240519756898,0.3955254480142548,0.3939572074944979
banks,809,264,-0.014171663166429344,0.4007383012783844,0.41490996444481376
cap,1800,210,-0.03625947174066092,0.40356579818748267,0.4398252699281436
zombie,383,177,0.008148234383159793,0.4050854740767823,0.3969372396936225
grill,1009,122,0.002265397187412012,0.40624726281164125,0.4039818656242292
rated,528,124,0.0304970344379651,0.4126426409921956,0.3821456065542305
st,2041,812,0.06154871871260763,0.41372499927827355,0.3521762805656659
casual,305,160,0.10411988918211579,0.4141720421988017,0.3100521530166859
pet,610,266,-0.07610534786606452,0.4146384889195587,0.49074383678562317
connection,907,463,0.07268586576041233,0.41515698818171864,0.3424711224213063
drill,442,121,0.000564432892796677,0.4161937934073261,0.4156293605145294
experiment,220,114,0.07609873009471625,0.4165990816182005,0.34050035152348423
yah,1393,512,-0.04867124261839545,0.41858613022511165,0.4672573728435071
paris,945,542,0.08823243333628883,0.418751361284598,0.33051892794830917
italian,243,169,0.03434115183404416,0.4190866517694432,0.384745499935399
dump,861,185,0.0520238611087194,0.4216813923130371,0.36965753120431766
idiot,516,152,0.12575310700403608,0.4217816812827143,0.29602857427867824
lads,270,162,0.0665036681523772,0.4221110840934112,0.355607415941034
ms,293,105,0.15568226129196883,0.42346301722742863,0.2677807559354598
jones,1489,501,0.048825582899628975,0.4243457661045655,0.3755201832049365
blaze,1685,275,0.03762473910202104,0.4246329852954369,0.3870082461934159
ultra,371,106,0.0701483512214731,0.42472683908931963,0.3545784878678465
threat,969,317,0.014656309057102926,0.42513251808672714,0.41047620902962423
shirley,182,112,0.08035862021957049,0.4254000785789903,0.3450414583594198
drunken,754,172,0.1883532486521325,0.42574988088817867,0.23739663223604618
jean,424,329,0.03567243642344513,0.42582011518335783,0.3901476787599127
eventually,564,148,0.06655411221689457,0.42640705758717745,0.3598529453702829
partner,1129,415,0.12602354688685793,0.4268223549112149,0.300798808024357
powder,777,242,0.061184717896366744,0.42889461251769007,0.3677098946213233
uncle,1501,589,0.010582368985965037,0.4294186095226268,0.41883624053666174
rag,866,314,0.03568569983984646,0.4298696731415643,0.39418397330171784
sly,390,190,0.056102056466046796,0.43082500971430043,0.37472295324825367
poetry,921,302,0.13318171970059678,0.43153305657798247,0.2983513368773857
tin,781,389,0.17043198985188818,0.4323552499244411,0.2619232600725529
chip,546,210,0.044602634820616466,0.43264021978437905,0.3880375849637626
main,1939,769,0.09964323817992204,0.4334106848747207,0.33376744669479863
rubber,1202,573,0.10926403569278001,0.43367165524050844,0.32440761954772845
darn,220,170,0.1337424473287226,0.4337220729143072,0.2999796255855846
walker,327,105,0.09953647297199572,0.43405586366197024,0.3345193906899745
junior,518,156,0.0388710290603048,0.43405790374967984,0.395186874689375
hump,420,255,-0.03599853144474895,0.43405888736452086,0.4700574188092698
paranoid,678,101,0.11768436668997219,0.4348740825776442,0.31718971588767203
macho,276,224,0.08415709768149443,0.43498124019164497,0.35082414251015054
fifth,1107,170,0.12601884332257854,0.43505178348470386,0.30903294016212535
politician,285,134,0.10447514437647798,0.43552117021865694,0.33104602584217896
exercise,305,136,0.008854919470025011,0.4356944043587125,0.42683948488868745
creep,2659,360,-0.01572673824072285,0.4368833256187536,0.45261006385947644
flop,573,231,-0.06490912870612568,0.43858911179209886,0.5034982404982246
stagger,293,103,0.1347770884396267,0.43932812709899854,0.30455103865937183
fiend,1403,150,0.07732534629665383,0.44198562825784726,0.36466028196119343
maintain,1296,138,0.10084047748335596,0.44394754584454155,0.3431070683611856
harlem,686,223,0.04794149029418727,0.44404799933513955,0.3961065090409523
tiger,635,368,0.08921927738972081,0.44717645680540924,0.35795717941568844
ave,793,141,0.027300465609400672,0.44728815708259406,0.41998769147319337
prick,331,120,0.1078578150744787,0.44837155025091024,0.3405137351764316
rev,187,133,0.09481516651747487,0.4484386275108047,0.35362346099332986
margaret,141,101,0.2080846647842319,0.44922517447655297,0.24114050969232106
butterfly,911,339,0.05496331253812675,0.4496258378702944,0.39466252533216767
dread,1093,735,-0.004784265607035026,0.45023498446953886,0.4550192500765739
electricity,347,179,-0.0009121497615338613,0.45190074305213984,0.4528128928136737
soldiers,2284,804,0.08669786628065224,0.4521583804842412,0.36546051420358894
course,3465,1281,0.058192384563946896,0.4522342397916025,0.3940418552276556
pregnant,494,111,0.16267566991481305,0.45274711275283724,0.2900714428380242
anyhow,587,300,0.1954376432834143,0.45312399210644916,0.25768634882303487
elevator,372,181,0.07343455630353782,0.4531393357692812,0.37970477946574344
token,362,145,0.06942359148017843,0.4545883354103827,0.3851647439302043
combination,385,217,-0.030585668347929054,0.45593560705152636,0.4865212753994554
girl's,1044,730,0.03752359061424021,0.4564764575921886,0.41895286697794837
homeboys,545,228,0.038886303218611785,0.4568033863857248,0.417917083167113
grease,492,159,0.10501599562363953,0.4571447085094877,0.3521287128858481
case,4329,1441,0.027329684798238177,0.45812919191839085,0.4307995071201527
serenade,344,114,0.13515529859724063,0.458240081133282,0.3230847825360414
