token,source_count,target_count,cosine_before,cosine_after,delta
the,17368774,4441539,0.07490444870568622,0.9156640809964383,0.840759632290752
of,4257710,1270373,0.061266111969898326,0.9085373055477763,0.8472711935778781
with,3075754,650057,0.024632797067180832,0.9006111947683749,0.8759783977011941
what,1995916,499597,0.19496327103315186,0.9128941310127549,0.717930859979603
if,1656810,369547,0.13540308092233058,0.8499256554044229,0.7145225744820923
was,1419455,326268,0.12318231093774108,0.9254078118249245,0.8022255008871834
way,970652,247766,0.09725560412547199,0.8576205812953216,0.7603649771698496
he,868260,225114,0.18302058866969362,0.8779316471929531,0.6949110585232595
our,630108,190256,0.047341885192078506,0.9254360933892458,0.8780942081971673
need,956108,172544,0.0679024956282879,0.8753037394004941,0.8074012437722062
some,771095,154079,0.03883368555155027,0.8434757603634191,0.8046420748118688
why,669518,143765,0.15282318909792494,0.8674581625452428,0.7146349734473179
around,484057,126064,-0.03874971435607937,0.8857449915126838,0.9244947058687631
we're,442766,117499,0.07520182680678966,0.8856062210351172,0.8104043942283276
shit,1013800,105272,-0.019409336378435865,0.8307417311161174,0.8501510674945533
their,272010,91937,-0.0414447268797934,0.9316681687023308,0.9731128955821242
try,367575,88556,0.0835045407182381,0.8730624091090298,0.7895578683907917
much,337122,84665,-0.027515002077448312,0.8714336070787887,0.898948609156237
made,377109,79981,-0.03772414515122362,0.8538435553011999,0.8915677004524235
show,343900,75895,0.06398961523013758,0.8680848488088195,0.804095233578682
tonight,230258,70556,-0.022928258005082733,0.8352077597973128,0.8581360178023955
old,234007,64708,-0.04213898804794958,0.8080242525372626,0.8501632405852122
walk,210909,61377,0.01800824630956028,0.8624262201455594,0.844417973835999
play,290795,58632,0.06664460338075316,0.8214097948087657,0.7547651914280126
he's,168106,55692,0.1083653216147816,0.8860936923578043,0.7777283707430227
bring,200734,53039,0.018222286391391212,0.8905413515581901,0.8723190651667989
first,211888,51295,0.10960622471813194,0.8403929650196148,0.7307867403014828
maybe,226737,49009,0.015318593539153462,0.852417778278294,0.8370991847391406
dreams,173158,47221,0.12069585110295969,0.8629273440283971,0.7422314929254374
yes,146606,45703,0.023487342765862833,0.7594601074135835,0.7359727646477207
getting,298729,43801,0.017993737708938126,0.8789769113999659,0.8609831736910278
yourself,142327,42753,0.02179431427754927,0.8725216818831878,0.8507273676056385
used,202712,40993,0.05573127887444552,0.8484653749585939,0.7927340960841484
door,138929,39461,0.05938858930499792,0.8434038221222405,0.7840152328172426
sure,138194,37997,0.06778588384282974,0.817348351352354,0.7495624675095243
friend,133448,36874,0.08617257146246077,0.8387261160764707,0.7525535446140099
lose,165464,35912,0.1444616325145499,0.8776623307388813,0.7332006982243314
