rank,token,count
425,jesus,5954
426,part,5929
427,gave,5909
428,honey,5893
429,takes,5880
430,truth,5871
431,hurt,5856
432,hearts,5850
433,hit,5845
434,lover,5826
435,next,5822
436,king,5820
437,broken,5802
438,walking,5797
439,pay,5781
440,lot,5779
441,alive,5764
442,tried,5752
443,you'd,5729
444,doesn't,5723
445,air,5722
446,moon,5696
447,whole,5694
448,children,5693
449,reason,5662
450,lady,5657
451,three,5637
452,sea,5600
453,born,5557
454,step,5505
455,full,5480
456,tomorrow,5476
457,save,5451
458,child,5433
459,upon,5374
460,di,5363
461,making,5338
462,standing,5336
463,wanted,5298
464,wall,5295
465,fast,5276
466,kill,5276
467,eye,5254
468,miss,5250
469,bed,5245
470,lights,5236
471,wants,5229
472,burn,5213
473,use,5208
474,gets,5194
475,meet,5173
476,lay,5170
477,water,5133
478,guess,5119
479,between,5080
480,tight,5070
481,seem,5027
482,star,5009
483,past,4974
484,apart,4969
485,floor,4969
486,da,4966
487,talking,4964
488,hate,4942
489,dancing,4925
490,voice,4922
491,doing,4917
492,doo,4900
493,thinking,4888
494,stars,4883
495,great,4859
496,car,4854
497,lives,4817
498,since,4794
499,learn,4787
500,above,4781
501,being,4766
502,nights,4748
503,sad,4744
504,called,4714
505,shine,4704
506,earth,4696
507,calling,4690
508,turned,4685
509,anymore,4683
510,bout,4636
511,top,4591
512,blind,4577
513,reach,4559
514,follow,4557
515,babe,4533
516,feels,4531
517,slow,4510
518,loved,4480
519,rest,4434
520,lovin,4430
521,win,4421
522,nice,4389
523,sit,4353
524,streets,4338
525,across,4333
526,blow,4324
527,wouldn't,4315
528,cut,4309
529,everyone,4247
530,hair,4244
531,peace,4225
532,bit,4219
533,goin,4213
534,mother,4211
535,heat,4193
536,straight,4188
537,drive,4187
538,caught,4128
539,darling,4112
540,taking,4112
541,number,4098
542,somewhere,4085
543,wake,4050
544,near,4036
545,yet,4032
546,gold,4025
547,crying,4015
548,story,4007
549,magic,4006
550,sight,4005
551,son,4005
552,playing,3997
553,keeps,3995
554,mama,3995
555,started,3990
556,train,3975
557,moment,3973
558,afraid,3972
559,clear,3969
560,looks,3938
561,shout,3927
562,felt,3925
563,river,3915
564,trouble,3914
565,gun,3911
566,watching,3906
567,angel,3893
568,both,3887
569,loves,3883
570,needs,3882
571,share,3865
572,bright,3855
573,ho,3841
574,radio,3824
575,isn't,3799
576,brother,3784
577,holding,3762
578,tired,3755
579,four,3742
580,different,3740
581,which,3728
582,higher,3720
583,future,3719
584,read,3699
585,desire,3670
586,empty,3666
587,nothin,3657
588,grow,3652
589,darkness,3650
590,answer,3642
591,everywhere,3638
592,saying,3633
593,strange,3629
594,rise,3626
595,outside,3626
596,throw,3612
597,eat,3610
598,looked,3596
599,drink,3583
600,low,3578
601,pass,3575
602,nowhere,3572
603,joy,3568
604,lookin,3562
605,met,3560
606,y'all,3549
607,yours,3543
608,turning,3532
609,blues,3527
610,moving,3524
611,comin,3516
612,against,3512
613,catch,3506
614,known,3499
615,they'll,3488
616,lovers,3477
617,evil,3474
618,carry,3457
619,ways,3455
620,laugh,3433
621,warm,3426
622,lead,3425
623,shot,3423
624,dem,3422
625,cross,3402
626,send,3397
627,guy,3391
628,check,3386
629,he'll,3377
630,window,3371
631,knees,3362
632,feelings,3346
633,mad,3345
634,shall,3321
635,summer,3312
636,five,3309
637,scream,3305
638,tear,3298
639,jah,3286
640,speak,3285
641,wasn't,3285
642,special,3279
643,most,3274
644,stone,3272
645,pray,3266
646,leaving,3263
647,school,3263
648,buy,3259
649,funky,3248
650,rhythm,3243
651,cannot,3237
652,freedom,3232
653,spend,3211
654,poor,3210
