token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
limbo,1960_1969,1970_1979,0.2781706154346466,0.7218293845653534,108,145,108,145,126.5,1.3425925925925926,True,False,False,False,False,False,
china,1960_1969,1970_1979,0.31479933857917786,0.6852006614208221,124,256,124,256,190.0,2.064516129032258,True,False,False,False,False,False,
dan,1960_1969,1970_1979,0.315367192029953,0.684632807970047,137,233,137,233,185.0,1.7007299270072993,True,False,False,False,False,False,
sport,1960_1969,1970_1979,0.31814730167388916,0.6818526983261108,109,105,105,109,107.0,1.0380952380952382,True,False,False,False,False,False,
don,1960_1969,1970_1979,0.32351139187812805,0.676488608121872,387,403,387,403,395.0,1.041343669250646,True,False,False,False,False,False,
henry,1960_1969,1970_1979,0.331412136554718,0.668587863445282,253,231,231,253,242.0,1.0952380952380953,True,False,False,False,False,False,
bitch,1960_1969,1970_1979,0.3344283401966095,0.6655716598033905,122,392,122,392,257.0,3.2131147540983607,True,False,False,False,False,False,
dancer,1960_1969,1970_1979,0.3533474802970886,0.6466525197029114,111,475,111,475,293.0,4.2792792792792795,True,False,False,False,False,False,
dolly,1960_1969,1970_1979,0.3598335087299347,0.6401664912700653,245,104,104,245,174.5,2.355769230769231,True,False,False,False,False,False,
sandy,1960_1969,1970_1979,0.3645350933074951,0.6354649066925049,119,187,119,187,153.0,1.5714285714285714,True,False,False,False,False,False,
drag,1960_1969,1970_1979,0.38318201899528503,0.616817981004715,367,585,367,585,476.0,1.5940054495912805,True,False,False,False,False,False,
hobo,1960_1969,1970_1979,0.38815802335739136,0.6118419766426086,100,126,100,126,113.0,1.26,True,False,False,False,False,False,
hare,1960_1969,1970_1979,0.3885616064071655,0.6114383935928345,135,217,135,217,176.0,1.6074074074074074,True,False,False,False,False,False,
ladies,1960_1969,1970_1979,0.391975075006485,0.608024924993515,449,1594,449,1594,1021.5,3.5501113585746102,True,False,False,False,False,False,
cuz,1960_1969,1970_1979,0.392875075340271,0.607124924659729,101,223,101,223,162.0,2.207920792079208,True,False,False,False,False,False,
monster,1960_1969,1970_1979,0.39650285243988037,0.6034971475601196,186,280,186,280,233.0,1.5053763440860215,True,False,False,False,False,False,
cos,1960_1969,1970_1979,0.3972858190536499,0.6027141809463501,277,1265,277,1265,771.0,4.566787003610108,True,False,False,False,False,False,
america,1960_1969,1970_1979,0.4001294672489166,0.5998705327510834,237,892,237,892,564.5,3.7637130801687766,True,False,False,False,False,False,
cheap,1960_1969,1970_1979,0.40038591623306274,0.5996140837669373,128,500,128,500,314.0,3.90625,True,False,False,False,False,False,
force,1960_1969,1970_1979,0.4028829336166382,0.5971170663833618,111,529,111,529,320.0,4.7657657657657655,True,False,False,False,False,False,
cha,1960_1969,1970_1979,0.40490245819091797,0.595097541809082,428,542,428,542,485.0,1.266355140186916,True,False,False,False,False,False,
punch,1960_1969,1970_1979,0.40709710121154785,0.5929028987884521,141,127,127,141,134.0,1.110236220472441,True,False,False,False,False,False,
killing,1960_1969,1970_1979,0.4135266840457916,0.5864733159542084,171,619,171,619,395.0,3.6198830409356724,True,False,False,False,False,False,
holly,1960_1969,1970_1979,0.41451385617256165,0.5854861438274384,126,185,126,185,155.5,1.4682539682539681,True,False,False,False,False,False,
stuff,1960_1969,1970_1979,0.41510283946990967,0.5848971605300903,268,1308,268,1308,788.0,4.880597014925373,True,False,False,False,False,False,
rescue,1960_1969,1970_1979,0.4220552146434784,0.5779447853565216,102,239,102,239,170.5,2.343137254901961,True,False,False,False,False,False,
mate,1960_1969,1970_1979,0.4242432415485382,0.5757567584514618,134,132,132,134,133.0,1.0151515151515151,True,False,False,False,False,False,
wicked,1960_1969,1970_1979,0.4247318506240845,0.5752681493759155,194,438,194,438,316.0,2.2577319587628866,True,False,False,False,False,False,
fred,1960_1969,1970_1979,0.4249177873134613,0.5750822126865387,116,257,116,257,186.5,2.2155172413793105,True,False,False,False,False,False,
witch,1960_1969,1970_1979,0.4269618093967438,0.5730381906032562,137,222,137,222,179.5,1.6204379562043796,True,False,False,False,False,False,
dragon,1960_1969,1970_1979,0.4308062791824341,0.5691937208175659,132,222,132,222,177.0,1.6818181818181819,True,False,False,False,False,False,
maker,1960_1969,1970_1979,0.4357888102531433,0.5642111897468567,120,357,120,357,238.5,2.975,True,False,False,False,False,False,
bum,1960_1969,1970_1979,0.43698760867118835,0.5630123913288116,340,1030,340,1030,685.0,3.0294117647058822,True,False,False,False,False,False,
rebel,1960_1969,1970_1979,0.43788376450538635,0.5621162354946136,106,440,106,440,273.0,4.150943396226415,True,False,False,False,False,False,
wee,1960_1969,1970_1979,0.43843626976013184,0.5615637302398682,504,569,504,569,536.5,1.128968253968254,True,False,False,False,False,False,
shit,1960_1969,1970_1979,0.43900805711746216,0.5609919428825378,137,545,137,545,341.0,3.978102189781022,True,False,False,False,False,False,
also,1960_1969,1970_1979,0.44167008996009827,0.5583299100399017,288,415,288,415,351.5,1.4409722222222223,True,False,False,False,False,False,
type,1960_1969,1970_1979,0.44192710518836975,0.5580728948116302,112,236,112,236,174.0,2.107142857142857,True,False,False,False,False,False,
madness,1960_1969,1970_1979,0.44369569420814514,0.5563043057918549,120,498,120,498,309.0,4.15,True,False,False,False,False,False,
rosie,1960_1969,1970_1979,0.44374334812164307,0.5562566518783569,151,270,151,270,210.5,1.7880794701986755,True,False,False,False,False,False,
hitch,1960_1969,1970_1979,0.4443058371543884,0.5556941628456116,522,138,138,522,330.0,3.782608695652174,True,False,False,False,False,False,
hell,1960_1969,1970_1979,0.4465315043926239,0.5534684956073761,563,2659,563,2659,1611.0,4.7229129662522205,True,False,False,False,False,False,
cowboy,1960_1969,1970_1979,0.4469643235206604,0.5530356764793396,259,761,259,761,510.0,2.9382239382239383,True,False,False,False,False,False,
mhm,1960_1969,1970_1979,0.44759923219680786,0.5524007678031921,163,270,163,270,216.5,1.656441717791411,True,False,False,False,False,False,
beware,1960_1969,1970_1979,0.4497407376766205,0.5502592623233795,245,668,245,668,456.5,2.726530612244898,True,False,False,False,False,False,
letting,1960_1969,1970_1979,0.45036840438842773,0.5496315956115723,115,455,115,455,285.0,3.9565217391304346,True,False,False,False,False,False,
hooked,1960_1969,1970_1979,0.4513653814792633,0.5486346185207367,123,333,123,333,228.0,2.707317073170732,True,False,False,False,False,False,
check,1960_1969,1970_1979,0.45258626341819763,0.5474137365818024,220,1156,220,1156,688.0,5.254545454545455,True,False,False,False,False,False,
rag,1960_1969,1970_1979,0.4539457857608795,0.5460542142391205,177,215,177,215,196.0,1.2146892655367232,True,False,False,False,False,False,
southern,1960_1969,1970_1979,0.4557921886444092,0.5442078113555908,157,555,157,555,356.0,3.535031847133758,True,False,False,False,False,False,
freedom,1960_1969,1970_1979,0.45677894353866577,0.5432210564613342,573,1833,573,1833,1203.0,3.1989528795811517,True,False,False,False,False,False,
iron,1960_1969,1970_1979,0.45688390731811523,0.5431160926818848,258,415,258,415,336.5,1.6085271317829457,True,False,False,False,False,False,
puff,1960_1969,1970_1979,0.4588659703731537,0.5411340296268463,152,105,105,152,128.5,1.4476190476190476,True,False,False,False,False,False,
jam,1960_1969,1970_1979,0.45924168825149536,0.5407583117485046,101,455,101,455,278.0,4.5049504950495045,True,False,False,False,False,False,
rocks,1960_1969,1970_1979,0.45981207489967346,0.5401879251003265,260,500,260,500,380.0,1.9230769230769231,True,False,False,False,False,False,
bug,1960_1969,1970_1979,0.46269530057907104,0.537304699420929,153,154,153,154,153.5,1.0065359477124183,True,False,False,False,False,False,
court,1960_1969,1970_1979,0.46422892808914185,0.5357710719108582,147,178,147,178,162.5,1.2108843537414966,True,False,False,False,False,False,
declare,1960_1969,1970_1979,0.465272456407547,0.534727543592453,138,152,138,152,145.0,1.1014492753623188,True,False,False,False,False,False,
success,1960_1969,1970_1979,0.4659595489501953,0.5340404510498047,158,256,158,256,207.0,1.620253164556962,True,False,False,False,False,False,
caught,1960_1969,1970_1979,0.4660618305206299,0.5339381694793701,872,2057,872,2057,1464.5,2.3589449541284404,True,False,False,False,False,False,
george,1960_1969,1970_1979,0.4669356346130371,0.5330643653869629,233,327,233,327,280.0,1.4034334763948497,True,False,False,False,False,False,
mark,1960_1969,1970_1979,0.46712395548820496,0.532876044511795,189,423,189,423,306.0,2.238095238095238,True,False,False,False,False,False,
tramp,1960_1969,1970_1979,0.4678620994091034,0.5321379005908966,121,122,121,122,121.5,1.0082644628099173,True,False,False,False,False,False,
allow,1960_1969,1970_1979,0.4679126441478729,0.5320873558521271,148,258,148,258,203.0,1.7432432432432432,True,False,False,False,False,False,
granny,1960_1969,1970_1979,0.46820876002311707,0.5317912399768829,124,207,124,207,165.5,1.6693548387096775,True,False,False,False,False,False,
jackson,1960_1969,1970_1979,0.4685940742492676,0.5314059257507324,140,199,140,199,169.5,1.4214285714285715,True,False,False,False,False,False,
mama,1960_1969,1970_1979,0.46893438696861267,0.5310656130313873,3250,5735,3250,5735,4492.5,1.7646153846153847,True,False,False,False,False,False,
cop,1960_1969,1970_1979,0.46898436546325684,0.5310156345367432,112,277,112,277,194.5,2.4732142857142856,True,False,False,False,False,False,
steady,1960_1969,1970_1979,0.4703117609024048,0.5296882390975952,283,529,283,529,406.0,1.8692579505300353,True,False,False,False,False,False,
english,1960_1969,1970_1979,0.471605509519577,0.528394490480423,179,250,179,250,214.5,1.3966480446927374,True,False,False,False,False,False,
funky,1960_1969,1970_1979,0.47202417254447937,0.5279758274555206,272,2557,272,2557,1414.5,9.400735294117647,True,False,False,False,False,False,
canyon,1960_1969,1970_1979,0.4728628695011139,0.5271371304988861,102,142,102,142,122.0,1.392156862745098,True,False,False,False,False,False,
egg,1960_1969,1970_1979,0.4736814796924591,0.5263185203075409,107,176,107,176,141.5,1.644859813084112,True,False,False,False,False,False,
gal,1960_1969,1970_1979,0.4741688072681427,0.5258311927318573,801,530,530,801,665.5,1.5113207547169811,True,False,False,False,False,False,
twist,1960_1969,1970_1979,0.4755145013332367,0.5244854986667633,972,410,410,972,691.0,2.370731707317073,True,False,False,False,False,False,
action,1960_1969,1970_1979,0.47557491064071655,0.5244250893592834,130,687,130,687,408.5,5.2846153846153845,True,False,False,False,False,False,
whoo,1960_1969,1970_1979,0.47603416442871094,0.5239658355712891,207,1051,207,1051,629.0,5.0772946859903385,True,False,False,False,False,False,
woh,1960_1969,1970_1979,0.4773530960083008,0.5226469039916992,107,332,107,332,219.5,3.102803738317757,True,False,False,False,False,False,
using,1960_1969,1970_1979,0.47764208912849426,0.5223579108715057,109,300,109,300,204.5,2.7522935779816513,True,False,False,False,False,False,
wah,1960_1969,1970_1979,0.4780571460723877,0.5219428539276123,673,743,673,743,708.0,1.1040118870728084,True,False,False,False,False,False,
bears,1960_1969,1970_1979,0.47806599736213684,0.5219340026378632,104,172,104,172,138.0,1.6538461538461537,True,False,False,False,False,False,
