token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
showbiz,1990_1999,2000_2009,0.22398485243320465,0.7760151475667953,225,157,157,225,191.0,1.4331210191082802,True,False,False,False,False,False,
etc,1990_1999,2000_2009,0.24080173671245575,0.7591982632875443,354,410,354,410,382.0,1.1581920903954803,True,False,False,False,False,False,
jimmy's,1990_1999,2000_2009,0.26897552609443665,0.7310244739055634,122,163,122,163,142.5,1.3360655737704918,True,False,False,False,False,False,
ally,1990_1999,2000_2009,0.27103281021118164,0.7289671897888184,144,346,144,346,245.0,2.4027777777777777,True,False,False,False,False,False,
inaudible,1990_1999,2000_2009,0.2863442897796631,0.7136557102203369,114,121,114,121,117.5,1.0614035087719298,True,False,False,False,False,False,
bart,1990_1999,2000_2009,0.2878146171569824,0.7121853828430176,240,143,143,240,191.5,1.6783216783216783,True,False,False,False,False,False,
whitey,1990_1999,2000_2009,0.28932446241378784,0.7106755375862122,155,261,155,261,208.0,1.6838709677419355,True,False,False,False,False,False,
coo,1990_1999,2000_2009,0.29355520009994507,0.7064447999000549,521,696,521,696,608.5,1.3358925143953935,True,False,False,False,False,False,
guru,1990_1999,2000_2009,0.2957310974597931,0.7042689025402069,378,469,378,469,423.5,1.2407407407407407,True,False,False,False,False,False,
zen,1990_1999,2000_2009,0.2991921305656433,0.7008078694343567,245,292,245,292,268.5,1.1918367346938776,True,False,False,False,False,False,
eah,1990_1999,2000_2009,0.2996419072151184,0.7003580927848816,232,420,232,420,326.0,1.8103448275862069,True,False,False,False,False,False,
laden,1990_1999,2000_2009,0.29992443323135376,0.7000755667686462,115,534,115,534,324.5,4.643478260869565,True,False,False,False,False,False,
mischief,1990_1999,2000_2009,0.31106671690940857,0.6889332830905914,141,301,141,301,221.0,2.1347517730496453,True,False,False,False,False,False,
apparently,1990_1999,2000_2009,0.31124308705329895,0.688756912946701,173,488,173,488,330.5,2.820809248554913,True,False,False,False,False,False,
bully,1990_1999,2000_2009,0.3135957717895508,0.6864042282104492,297,832,297,832,564.5,2.8013468013468015,True,False,False,False,False,False,
nana,1990_1999,2000_2009,0.3200003206729889,0.6799996793270111,498,816,498,816,657.0,1.6385542168674698,True,False,False,False,False,False,
nevermind,1990_1999,2000_2009,0.32420843839645386,0.6757915616035461,180,505,180,505,342.5,2.8055555555555554,True,False,False,False,False,False,
scat,1990_1999,2000_2009,0.32733726501464844,0.6726627349853516,216,228,216,228,222.0,1.0555555555555556,True,False,False,False,False,False,
helluva,1990_1999,2000_2009,0.3282058537006378,0.6717941462993622,112,102,102,112,107.0,1.0980392156862746,True,False,False,False,False,False,
yup,1990_1999,2000_2009,0.3284922242164612,0.6715077757835388,419,2192,419,2192,1305.5,5.231503579952268,True,False,False,False,False,False,
wendy,1990_1999,2000_2009,0.32983842492103577,0.6701615750789642,188,264,188,264,226.0,1.4042553191489362,True,False,False,False,False,False,
angelina,1990_1999,2000_2009,0.32985419034957886,0.6701458096504211,149,234,149,234,191.5,1.570469798657718,True,False,False,False,False,False,
whoah,1990_1999,2000_2009,0.3299769461154938,0.6700230538845062,359,548,359,548,453.5,1.5264623955431755,True,False,False,False,False,False,
goddamned,1990_1999,2000_2009,0.3305971622467041,0.6694028377532959,110,220,110,220,165.0,2.0,True,False,False,False,False,False,
duke,1990_1999,2000_2009,0.33229678869247437,0.6677032113075256,525,1002,525,1002,763.5,1.9085714285714286,True,False,False,False,False,False,
yang,1990_1999,2000_2009,0.3334927260875702,0.6665072739124298,165,582,165,582,373.5,3.5272727272727273,True,False,False,False,False,False,
bon,1990_1999,2000_2009,0.33475786447525024,0.6652421355247498,291,482,291,482,386.5,1.6563573883161513,True,False,False,False,False,False,
convention,1990_1999,2000_2009,0.33748525381088257,0.6625147461891174,116,210,116,210,163.0,1.8103448275862069,True,False,False,False,False,False,
grime,1990_1999,2000_2009,0.3381693363189697,0.6618306636810303,134,758,134,758,446.0,5.656716417910448,True,False,False,False,False,False,
ugh,1990_1999,2000_2009,0.3389396369457245,0.6610603630542755,980,1772,980,1772,1376.0,1.8081632653061224,True,False,False,False,False,False,
bubba,1990_1999,2000_2009,0.3393874764442444,0.6606125235557556,133,469,133,469,301.0,3.526315789473684,True,False,False,False,False,False,
umm,1990_1999,2000_2009,0.3413608968257904,0.6586391031742096,526,655,526,655,590.5,1.2452471482889733,True,False,False,False,False,False,
romp,1990_1999,2000_2009,0.34285539388656616,0.6571446061134338,145,108,108,145,126.5,1.3425925925925926,True,False,False,False,False,False,
shangri,1990_1999,2000_2009,0.3434496819972992,0.6565503180027008,134,231,134,231,182.5,1.7238805970149254,True,False,False,False,False,False,
persuasion,1990_1999,2000_2009,0.34592822194099426,0.6540717780590057,168,325,168,325,246.5,1.9345238095238095,True,False,False,False,False,False,
girly,1990_1999,2000_2009,0.34613466262817383,0.6538653373718262,178,309,178,309,243.5,1.7359550561797752,True,False,False,False,False,False,
molly,1990_1999,2000_2009,0.3473711609840393,0.6526288390159607,431,607,431,607,519.0,1.408352668213457,True,False,False,False,False,False,
cru,1990_1999,2000_2009,0.34776145219802856,0.6522385478019714,118,103,103,118,110.5,1.145631067961165,True,False,False,False,False,False,
cam,1990_1999,2000_2009,0.34820467233657837,0.6517953276634216,214,769,214,769,491.5,3.5934579439252334,True,False,False,False,False,False,
junkyard,1990_1999,2000_2009,0.349376916885376,0.650623083114624,130,189,130,189,159.5,1.4538461538461538,True,False,False,False,False,False,
