rank,token,count
1,the,4441539
2,i,3348457
3,you,3252783
4,and,2470837
5,to,2421189
6,a,2061815
7,me,1496292
8,my,1445390
9,in,1424548
10,it,1281516
11,of,1270373
12,your,1045542
13,that,957957
14,on,925218
15,i'm,890193
16,is,849437
17,all,781615
18,for,776645
19,we,752979
20,be,691486
21,with,650057
22,so,639501
23,this,638185
24,like,605026
25,but,596551
26,don't,586970
27,it's,572554
28,know,550659
29,up,524497
30,no,505629
31,what,499597
32,just,495276
33,when,472225
34,love,427061
35,now,425848
36,get,416616
37,can,403657
38,out,401231
39,do,392782
40,got,389258
41,if,369547
42,they,362136
43,are,354554
44,will,348580
45,see,344185
46,from,344108
47,one,342307
48,time,336747
49,down,336548
50,not,327169
51,was,326268
52,go,323268
53,you're,320097
54,never,311355
55,have,290013
56,can't,280715
57,at,271477
58,come,264349
59,back,259377
60,as,255163
61,way,247766
62,cause,246488
63,make,244532
64,say,241396
65,she,239843
66,want,239349
67,take,237533
68,life,232009
69,let,231326
70,i'll,226297
71,he,225114
72,how,221684
73,her,209600
74,here,207689
75,there,200242
76,away,198691
77,feel,198372
78,by,195839
79,baby,193959
80,ain't,190860
81,our,190256
82,right,187113
83,where,186078
84,more,182406
85,i've,175692
86,or,175546
87,been,175387
88,wanna,174880
89,day,174467
90,man,174301
91,need,172544
92,through,172160
93,could,170410
94,that's,162689
95,who,160020
96,tell,159049
97,gonna,157397
98,us,155277
99,world,154394
100,then,154207
101,some,154079
102,about,153657
103,still,152130
104,them,148936
105,too,148594
106,think,148221
107,night,147560
108,heart,147343
109,his,145825
110,only,145608
111,why,143765
112,give,143662
113,again,143605
114,keep,142431
115,there's,139165
116,eyes,137629
117,every,131280
118,am,130818
119,won't,129976
120,over,126243
121,around,126064
122,off,122387
123,good,121884
124,look,121073
125,an,120556
126,said,120284
127,girl,120124
128,had,118874
129,would,118322
130,mind,118106
131,we're,117499
132,these,116072
133,into,115338
134,little,115299
135,well,115184
136,find,112920
137,nothing,112585
138,always,110935
139,long,108150
140,were,106360
141,shit,105272
142,things,103758
143,ever,103146
