rank,token,count
1,the,253364
2,you,240080
3,i,236822
4,and,183668
5,to,160291
6,a,156507
7,me,124510
8,my,107422
9,in,84566
10,of,77534
11,love,70949
12,that,69987
13,it,61536
14,your,58255
15,on,58108
16,be,54659
17,i'm,51080
18,for,50022
19,all,49140
20,is,48769
21,so,44778
22,but,43418
23,don't,41737
24,know,41487
25,with,37861
26,baby,37790
27,when,37098
28,no,36695
29,just,35980
30,now,34766
31,do,34006
32,it's,29993
33,if,29156
34,was,28429
35,what,28088
36,can,27544
37,he,27418
38,got,27230
39,she,26719
40,like,26444
41,go,26217
42,her,25976
43,come,25678
44,we,25561
45,one,25430
46,have,25108
47,time,24262
48,you're,23481
49,see,23168
50,this,23140
51,i'll,22953
52,will,22574
53,down,22515
54,up,21387
55,they,21189
56,never,21173
57,are,20878
58,as,20792
59,say,19907
60,out,19389
61,can't,18812
62,way,18697
63,there,18421
64,day,18413
65,gonna,18349
66,well,18203
67,from,18138
68,get,18064
69,at,17844
70,heart,17833
71,little,17794
72,not,16935
73,man,16556
74,tell,16409
75,how,16261
76,let,16217
77,i've,15991
78,want,15679
79,make,15313
80,by,15233
81,away,14985
82,back,14634
83,girl,14628
84,his,14615
85,night,13986
86,good,13868
87,more,13769
88,where,13660
89,that's,13631
90,take,13588
91,long,13340
92,right,13124
93,said,13108
94,then,13028
95,cause,12980
96,too,12760
97,been,12742
98,home,12587
99,here,12518
100,him,12175
101,why,12024
102,could,11454
103,life,11163
104,world,10814
105,had,10740
106,around,10689
107,yes,10650
108,or,10640
109,only,10635
110,there's,10532
111,would,10503
112,gone,10349
113,every,10334
114,old,10233
115,won't,10207
116,through,10177
117,feel,10154
118,about,10013
119,need,10006
120,ain't,9980
121,who,9951
122,some,9924
123,find,9802
124,again,9767
125,mind,9514
126,you'll,9459
127,think,9393
128,our,9191
129,give,9188
130,ever,8975
131,were,8895
132,over,8789
133,look,8786
134,eyes,8599
135,hear,8308
136,please,8191
137,mine,8030
138,cry,8006
139,she's,7920
140,keep,7918
141,true,7917
142,things,7908
143,still,7865
144,always,7707
145,sweet,7680
146,i'd,7534
147,an,7434
148,much,7273
149,he's,7223
150,you've,7151
151,them,7032
152,blue,6941
153,people,6829
154,alone,6740
155,hold,6694
156,before,6639
157,wanna,6588
158,leave,6536
159,has,6398
160,thing,6326
161,new,6256
162,made,6190
163,did,6187
164,really,6164
165,hand,6081
166,am,5969
167,stay,5944
168,lonely,5942
169,going,5935
170,boy,5927
171,try,5912
172,two,5889
173,lord,5834
174,we're,5833
175,us,5822
176,better,5751
177,walk,5730
178,may,5623
179,last,5622
180,live,5601
181,call,5573
182,woman,5571
183,sun,5538
184,must,5532
185,left,5525
186,their,5355
187,someone,5323
188,big,5300
189,dream,5259
190,sing,5258
191,than,5255
192,happy,5226
193,kiss,5224
194,town,5205
195,while,5203
196,gotta,5172
197,care,5112
198,wrong,5050
199,should,5048
200,once,5006
201,without,4963
202,run,4915
203,believe,4915
204,another,4911
205,place,4847
206,darling,4791
207,song,4719
208,nothing,4684
209,found,4667
210,turn,4641
211,morning,4619
212,didn't,4557
213,because,4522
214,head,4502
215,into,4485
216,free,4478
217,told,4469
218,face,4440
219,stop,4425
220,each,4379
221,other,4374
222,we'll,4364
223,arms,4335
224,came,4293
225,name,4285
226,hard,4271
227,everything,4266
228,many,4261
229,very,4257
230,round,4211
231,put,4197
232,something,4172
233,tears,4138
234,knew,4073
235,remember,4029
236,high,4005
237,thought,3993
238,off,3986
239,bad,3984
240,even,3983
241,those,3961
242,play,3937
243,tonight,3931
244,pretty,3929
245,dreams,3912
246,door,3910
247,rain,3908
248,bring,3893
249,own,3888
250,used,3887
251,dance,3867
252,help,3859
253,same,3833
254,along,3812
255,kind,3805
256,honey,3797
257,show,3789
258,though,3783
259,done,3780
260,sure,3759
261,stand,3757
262,light,3743
263,days,3736
264,die,3735
265,wait,3710
266,soul,3693
267,comes,3687
268,lost,3673
269,together,3665
270,goodbye,3660
271,dear,3617
272,sky,3616
273,today,3587
274,since,3572
275,let's,3531
276,these,3502
277,till,3500
278,fall,3500
279,any,3475
280,young,3473
281,alright,3469
282,fool,3466
283,somebody,3439
284,went,3430
285,loving,3414
286,end,3414
287,smile,3405
288,forget,3382
289,far,3368
290,start,3352
291,talk,3340
292,side,3296
293,nobody,3280
294,soon,3269
295,fine,3258
296,friend,3258
297,mama,3250
298,ya,3248
299,mean,3247
300,da,3218
301,heard,3211
302,feeling,3203
303,myself,3193
304,wish,3190
305,makes,3181
306,times,3167
307,they're,3164
308,money,3149
309,hurt,3138
310,goes,3123
311,knows,3106
312,everybody,3097
313,took,3081
314,loved,3074
315,miss,3037
316,sea,2982
317,inside,2978
318,sad,2968
319,might,2955
320,cold,2947
321,god,2945
322,saw,2944
323,wonder,2927
324,lovin,2921
325,first,2918
326,words,2909
327,moon,2888
328,else,2874
329,understand,2843
330,change,2841
331,tomorrow,2825
332,break,2821
333,maybe,2800
334,land,2773
335,whole,2770
336,goin,2765
337,friends,2763
338,doo,2755
339,listen,2750
340,real,2739
341,until,2727
342,years,2719
343,close,2718
344,blues,2698
345,such,2694
346,best,2691
347,after,2688
348,wind,2687
349,you'd,2667
350,above,2640
351,what's,2632
352,street,2623
353,road,2616
354,ride,2613
355,lose,2601
356,ask,2591
357,hands,2578
358,behind,2574
359,girls,2573
360,forever,2547
361,coming,2545
362,fly,2543
363,guess,2505
364,seen,2504
365,waiting,2503
366,meet,2501
367,work,2471
368,music,2459
369,shake,2455
370,hair,2454
371,fun,2450
372,lips,2442
373,heaven,2442
374,looking,2438
375,child,2403
376,christmas,2400
377,watch,2396
378,men,2396
379,til,2395
380,poor,2388
381,couldn't,2380
382,upon,2379
383,babe,2368
384,gave,2349
385,hope,2347
386,sleep,2343
387,deep,2340
388,seems,2322
389,em,2318
390,red,2313
391,easy,2313
392,born,2307
393,three,2307
394,ba,2305
395,fire,2300
396,green,2296
397,late,2290
398,sit,2271
399,black,2269
400,line,2245
401,stars,2242
402,enough,2240
403,river,2230
404,city,2219
405,house,2218
406,bye,2213
407,part,2205
408,hide,2203
409,ring,2175
410,touch,2168
411,feet,2166
412,white,2161
413,children,2156
414,lot,2148
415,crying,2134
416,wouldn't,2130
417,train,2104
418,does,2100
419,loves,2089
420,living,2081
421,matter,2057
422,tight,2054
423,tried,2049
424,someday,2042
425,yourself,2040
426,mother,2040
427,near,2037
428,glad,2035
429,great,2033
430,shine,2027
431,open,2016
432,move,2008
433,bright,2005
434,pain,2004
435,met,1994
436,its,1991
437,says,1990
438,sometimes,1984
439,tree,1979
440,roll,1978
441,rock,1970
442,water,1969
443,lie,1964
444,sound,1964
445,bout,1940
446,dead,1940
447,chance,1934
448,crazy,1929
449,dark,1918
450,walking,1910
451,bit,1908
452,guy,1895
453,warm,1891
454,beautiful,1871
455,anything,1854
456,low,1851
457,set,1849
458,seem,1842
459,we've,1823
460,ground,1818
461,strong,1800
462,summer,1798
463,boys,1796
464,daddy,1792
465,wild,1790
466,room,1787
467,she'll,1779
468,lady,1766
469,comin,1759
470,who's,1758
471,next,1742
472,called,1733
473,bed,1729
474,turned,1727
475,lay,1724
476,gold,1722
477,buy,1719
478,wine,1712
479,doesn't,1709
480,nice,1705
481,cried,1703
482,four,1702
483,broken,1698
484,laugh,1692
485,walked,1684
486,send,1673
487,grow,1671
488,word,1669
489,use,1669
490,running,1656
491,looked,1646
492,yet,1629
493,treat,1619
494,blow,1619
495,sunshine,1618
496,star,1618
497,trying,1616
498,joy,1613
499,lonesome,1611
500,anymore,1610
501,worry,1592
502,full,1586
503,trouble,1585
504,tired,1579
505,ready,1566
506,eye,1565
507,most,1565
508,apart,1564
509,darlin,1562
510,bells,1560
511,he'll,1559
512,king,1558
513,game,1547
514,beat,1544
515,past,1544
516,doing,1542
517,falling,1536
518,pay,1525
519,lovely,1524
520,mountain,1522
521,shall,1521
522,son,1517
523,singing,1516
524,lies,1514
525,lover,1513
526,reason,1511
527,wanted,1510
528,air,1501
529,share,1496
530,year,1488
531,somewhere,1488
532,wonderful,1486
533,window,1478
534,follow,1478
535,yesterday,1477
536,hang,1455
537,getting,1455
538,thinking,1441
539,pray,1434
540,across,1428
541,needs,1428
542,standing,1426
543,happiness,1424
544,fell,1424
545,fight,1423
546,sight,1421
547,brother,1412
548,being,1407
549,both,1402
550,yours,1391
551,lights,1386
552,looks,1385
553,funny,1382
554,keeps,1382
555,rest,1382
556,peace,1380
557,half,1376
558,started,1374
559,which,1371
560,memories,1369
561,sorry,1364
562,isn't,1347
563,angel,1343
564,known,1341
565,ago,1340
566,takes,1339
567,dog,1337
568,wake,1326
569,hearts,1325
570,afraid,1324
571,bird,1323
572,wants,1318
573,snow,1318
574,nothin,1316
575,making,1312
576,thank,1309
577,walkin,1307
578,gets,1306
579,feelin,1303
580,flowers,1300
581,nights,1295
582,wife,1292
583,shout,1284
584,earth,1281
585,mr,1279
586,drink,1271
587,mary,1267
588,lookin,1267
589,mornin,1266
590,pass,1259
591,empty,1255
592,saying,1254
593,everywhere,1253
594,hello,1250
595,spring,1250
596,bound,1245
597,they'll,1243
598,wasn't,1239
599,moment,1239
600,floor,1236
601,country,1228
602,magic,1225
603,leaving,1225
604,under,1223
605,pa,1222
606,learn,1221
607,ho,1219
608,tear,1215
609,everyone,1212
610,silver,1212
611,fair,1204
612,love's,1200
613,pride,1197
614,save,1195
615,mighty,1195
616,evening,1190
617,dee,1186
618,somehow,1184
619,win,1182
620,woo,1182
621,five,1181
622,fast,1180
623,cool,1177
624,dawn,1174
625,catch,1171
626,belong,1168
627,wide,1167
628,story,1166
629,golden,1164
630,sorrow,1164
631,memory,1161
632,almost,1159
633,longer,1156
634,rose,1156
635,strange,1156
636,ten,1152
637,cryin,1151
638,reach,1151
639,hill,1148
640,blind,1146
641,spend,1146
642,miles,1142
643,brown,1134
644,kissed,1133
645,de,1132
646,folks,1129
647,shoes,1112
648,talkin,1112
649,hot,1109
650,talking,1108
651,hate,1106
652,thrill,1095
653,died,1094
654,telling,1091
655,slow,1090
656,between,1089
657,answer,1088
658,pick,1082
659,voice,1081
660,thousand,1080
661,tender,1079
662,leaves,1079
663,wall,1075
664,felt,1075
665,cross,1071
666,broke,1070
667,sunday,1064
668,ways,1063
669,early,1059
670,clear,1057
671,read,1053
672,trees,1052
673,shame,1050
674,playing,1050
675,carry,1050
676,minute,1047
677,car,1033
678,step,1033
679,mad,1032
680,johnny,1030
681,shining,1030
682,kisses,1026
683,brought,1025
684,wear,1024
685,hit,1008
686,father,1007
687,hours,1005
688,doin,999
689,held,998
690,chorus,997
691,cannot,996
692,jesus,996
693,lovers,994
694,death,994
695,few,994
696,hour,990
697,roses,987
698,lead,986
699,sugar,985
700,number,984
701,skies,984
702,meant,982
703,dreaming,980
704,thee,978
705,filled,977
706,clothes,977
707,there'll,973
708,twist,972
709,beside,971
710,women,969
711,tryin,966
712,promise,963
713,blame,963
714,return,960
715,birds,958
716,dancing,957
717,band,956
718,anyone,953
719,stood,953
720,misery,948
721,calling,945
722,hurry,944
723,played,942
724,asked,941
725,begin,940
726,outside,938
727,knees,937
728,small,937
729,here's,936
730,glory,935
731,soft,935
732,quite,934
733,party,930
734,stone,929
735,merry,928
736,fear,926
737,speak,926
738,hundred,925
739,burning,924
740,war,922
741,troubles,922
742,sand,921
743,fill,921
744,winter,920
745,he'd,917
746,songs,917
747,grass,915
748,letter,915
749,tall,914
750,million,913
751,john,912
752,eat,911
753,lives,910
754,wings,909
755,drive,905
756,truth,901
757,lucky,897
758,runnin,895
759,dry,893
760,ball,892
761,bet,891
762,we'd,891
763,top,891
764,happen,890
765,sunny,890
766,working,890
767,c'mon,889
768,clouds,886
769,lived,885
770,within,882
771,six,878
772,hoo,875
773,sign,875
774,changed,873
775,proud,872
776,caught,872
777,worth,870
778,holding,867
779,write,866
780,straight,866
781,school,866
782,waitin,863
783,kids,862
784,rather,861
785,jump,854
786,oop,852
787,haven't,852
788,dum,848
789,news,845
790,happened,844
791,throw,840
792,body,840
793,seven,840
794,sitting,836
795,picture,835
796,livin,830
797,midnight,829
798,lee,828
799,corner,820
800,yellow,817
801,gettin,814
802,learned,812
803,gun,810
804,suddenly,809
805,means,808
806,joe,806
807,queen,803
808,oo,802
809,rich,801
810,gal,801
811,everybody's,801
812,knock,799
813,build,798
814,romance,795
815,bear,795
816,different,789
817,she'd,785
818,married,785
819,jack,782
820,loneliness,780
821,realize,779
822,although,774
823,hurts,772
824,power,769
825,lots,768
826,cut,767
827,boom,765
828,watching,765
829,sigh,762
830,guitar,761
831,shot,760
832,laughing,758
833,blood,758
834,doubt,755
835,nowhere,752
836,brand,749
837,devil,749
838,count,749
839,whenever,748
840,papa,747
841,second,747
842,burn,746
843,alive,743
844,taking,741
845,knowing,739
846,heartaches,738
847,whisper,737
848,ran,736
849,cares,735
850,winds,732
851,th,729
852,dig,729
853,slowly,728
854,feels,727
855,began,726
856,ahead,724
857,higher,721
858,baby's,717
859,closer,717
860,none,717
861,twenty,714
862,passed,712
863,shore,712
864,mercy,711
865,kept,711
866,satisfied,711
867,loud,710
868,grown,709
869,ol,708
870,bop,707
871,nine,707
872,losing,707
873,dying,706
874,marry,705
875,rise,705
876,chain,705
877,shadows,703
878,pretend,703
879,kill,702
880,crowd,700
881,rainbow,700
882,growing,698
883,streets,696
884,man's,695
885,luck,687
886,tells,686
887,angels,683
888,hi,682
889,brings,682
890,laughter,682
891,ee,681
892,rolling,679
893,track,678
894,gentle,678
895,turns,676
896,trust,674
897,breaking,673
898,wah,673
899,stranger,673
900,seemed,673
901,fade,672
902,dirty,672
903,ocean,670
904,moving,670
905,special,669
906,wedding,669
907,candy,668
908,moonlight,667
909,sittin,666
910,passing,662
911,grows,659
912,bill,658
913,somethin,658
914,having,656
915,welcome,655
916,bell,655
917,thinkin,655
918,flower,654
919,tune,654
920,breeze,654
921,sin,654
922,mister,653
923,instead,652
924,instrumental,650
925,others,649
926,sister,649
927,phone,648
928,dress,643
929,ship,642
930,everyday,640
931,valley,640
932,horse,639
933,monkey,638
934,movin,637
935,finally,637
936,book,637
937,family,634
938,darkness,633
939,smiling,632
940,twice,632
941,thoughts,632
942,bang,631
943,beneath,631
944,teardrops,630
945,cloud,630
946,turning,628
947,sleeping,628
948,softly,628
949,hallelujah,625
950,drop,624
951,stick,624
952,surely,624
953,wondering,621
954,secret,618
955,single,618
956,sir,618
957,dollar,615
958,ones,615
959,job,612
960,foolish,610
961,taste,609
962,west,609
963,life's,608
964,simple,608
965,week,605
966,jingle,605
967,santa,605
968,wherever,605
969,hat,605
970,paradise,604
971,boat,604
972,forgive,602
973,ooo,597
974,lying,596
975,fingers,595
976,grey,594
977,steal,594
978,sail,594
979,daughter,593
980,ma,593
981,beyond,590
982,prayer,589
983,weep,587
984,anybody,587
985,hanging,586
986,doctor,585
987,goodnight,584
988,needed,584
989,weary,583
990,foot,583
991,walls,582
992,sang,580
993,sweetheart,579
994,climb,579
995,sounds,579
996,future,577
997,dime,576
998,swing,575
999,glow,575
1000,desire,574
1001,freedom,573
1002,flame,572
1003,kinda,572
1004,anyway,572
1005,cat,572
1006,laid,572
1007,church,571
1008,smoke,571
1009,heart's,570
1010,gay,568
1011,taken,568
1012,garden,567
1013,beg,566
1014,starts,566
1015,won,566
1016,wise,566
1017,giving,565
1018,ease,565
1019,gray,565
1020,eight,565
1021,wheel,564
1022,hell,563
1023,clown,563
1024,hills,563
1025,plain,563
1026,bought,563
1027,leavin,562
1028,whatever,562
1029,walks,562
1030,tie,559
1031,style,557
1032,rollin,556
1033,travel,555
1034,quiet,554
1035,places,554
1036,singin,553
1037,prove,553
1038,weather,553
1039,precious,551
1040,roam,551
1041,whistle,551
1042,heavy,550
1043,pull,549
1044,waited,548
1045,ought,548
1046,searching,548
1047,sally,546
1048,sat,546
1049,monday,545
1050,mess,544
1051,holy,544
1052,adore,543
1053,sent,541
1054,ow,540
1055,glass,540
1056,pum,539
1057,they've,539
1058,recall,539
1059,heartache,538
1060,breath,537
1061,join,536
1062,vain,536
1063,color,535
1064,nose,535
1065,guys,534
1066,stopped,534
1067,front,533
1068,pity,533
1069,spent,532
1070,south,531
1071,mountains,531
1072,beauty,526
1073,fields,526
1074,built,525
1075,spoken,524
1076,gives,524
1077,weak,524
1078,faces,523
1079,hitch,522
1080,hung,520
1081,promised,517
1082,bless,517
1083,scene,516
1084,clean,516
1085,grave,516
1086,shadow,516
1087,whose,515
1088,workin,514
1089,flying,514
1090,highway,514
1091,evil,513
1092,silly,513
1093,diamond,513
1094,race,513
1095,fever,512
1096,anywhere,512
1097,against,511
1098,cup,511
1099,later,510
1100,sweeter,510
1101,key,510
1102,choose,507
1103,billy,507
1104,dust,505
1105,short,505
1106,wee,504
1107,hoping,503
1108,sayin,501
1109,sick,501
1110,middle,501
1111,cries,501
1112,ding,500
1113,fancy,500
1114,ev'ry,499
1115,wrote,498
1116,paper,498
1117,clock,498
1118,less,497
1119,squeeze,497
1120,bottle,497
1121,captain,497
1122,brain,496
1123,it'll,495
1124,spell,495
1125,dreamed,490
1126,everything's,489
1127,certain,489
1128,di,488
1129,worried,487
1130,swear,487
1131,faith,487
1132,teach,485
1133,shoulder,483
1134,hangin,482
1135,business,480
1136,mile,480
1137,dressed,480
1138,storm,478
1139,become,478
1140,hike,477
1141,park,477
1142,trip,477
1143,saturday,476
1144,explain,476
1145,table,476
1146,load,476
1147,guide,474
1148,eyed,474
1149,ear,473
1150,woke,472
1151,below,472
1152,groovy,470
1153,tellin,470
1154,coffee,469
1155,taught,469
1156,calls,468
1157,maria,467
1158,hungry,465
1159,san,465
1160,shouldn't,465
1161,sings,464
1162,california,464
1163,thinks,464
1164,fish,464
1165,forgotten,462
1166,gee,462
1167,store,462
1168,cotton,460
1169,bay,460
1170,fate,460
1171,skin,460
1172,laughed,459
1173,gimme,458
1174,bow,456
1175,hush,456
1176,bar,455
1177,lied,455
1178,ears,455
1179,plan,453
1180,smiled,453
1181,tennessee,451
1182,driving,451
1183,wander,451
1184,shines,450
1185,stands,450
1186,silent,450
1187,ladies,449
1188,law,448
1189,riding,447
1190,charms,446
1191,already,446
1192,boss,445
1193,falls,445
1194,railroad,445
1195,dew,444
1196,telephone,444
1197,brave,444
1198,bend,444
1199,silence,444
1200,judge,443
1201,they'd,442
1202,ice,442
1203,re,441
1204,rockin,440
1205,mouth,440
1206,ringing,440
1207,quit,439
1208,tea,439
1209,company,438
1210,awake,436
1211,york,435
1212,forty,435
1213,pieces,435
1214,makin,435
1215,seeing,434
1216,hardly,434
1217,among,434
1218,piece,433
1219,stronger,433
1220,chair,433
1221,touched,433
1222,melody,432
1223,jail,432
1224,georgia,432
1225,fortune,431
1226,plenty,430
1227,beginning,430
1228,age,429
1229,dad,428
1230,cha,428
1231,begins,428
1232,untrue,428
1233,whiskey,427
1234,slip,427
1235,sadness,426
1236,search,426
1237,bread,426
1238,lifetime,424
1239,wo,424
1240,smiles,424
1241,act,423
1242,runs,423
1243,control,423
1244,given,423
1245,breaks,422
1246,pack,422
1247,y'all,421
1248,often,421
1249,bother,419
1250,busy,419
1251,arm,419
1252,flow,418
1253,case,417
1254,date,415
1255,sometime,415
1256,watched,415
1257,where's,414
1258,smart,411
1259,li,411
1260,least,411
1261,hall,411
1262,groove,410
1263,daddy's,410
1264,bridge,410
1265,thy,410
1266,string,409
1267,row,409
1268,brothers,408
1269,jane,407
1270,double,407
1271,asking,407
1272,ole,406
1273,yonder,406
1274,kid,406
1275,waste,406
1276,fallin,405
1277,affair,405
1278,hole,404
1279,wow,403
1280,grew,403
1281,okay,403
1282,stare,403
1283,playin,399
1284,raise,399
1285,blows,399
1286,price,398
1287,pillow,398
1288,who'll,398
1289,kissing,397
1290,shade,397
1291,loose,396
1292,missed,394
1293,doll,394
1294,alley,393
1295,hurting,393
1296,world's,392
1297,autumn,392
1298,mistake,392
1299,surprise,392
1300,drinking,389
1301,fools,389
1302,standin,388
1303,blowin,388
1304,happens,388
1305,don,387
1306,willow,387
1307,greatest,387
1308,regret,387
1309,games,387
1310,hurtin,387
1311,tied,387
1312,killed,387
1313,plans,387
1314,rivers,386
1315,human,385
1316,wore,385
1317,insane,385
1318,island,384
1319,rhythm,382
1320,older,382
1321,fare,382
1322,sees,381
1323,waters,381
1324,state,381
1325,fat,380
1326,farewell,380
1327,bride,379
1328,rings,379
1329,apple,378
1330,sweetest,376
1331,ends,376
1332,sense,375
1333,dancin,375
1334,danced,374
1335,tide,374
1336,threw,374
1337,spin,374
1338,space,373
1339,havin,373
1340,shoot,373
1341,holds,372
1342,course,372
1343,shed,372
1344,texas,370
1345,stream,370
1346,chains,370
1347,sha,370
1348,remind,369
1349,paid,369
1350,grand,368
1351,stayed,368
1352,wishing,368
1353,paint,367
1354,perhaps,367
1355,east,367
1356,drag,367
1357,tail,367
1358,wood,367
1359,view,367
1360,wave,367
1361,wanting,366
1362,knee,366
1363,square,365
1364,sixteen,365
1365,beach,365
1366,shy,365
1367,bobby,364
1368,station,364
1369,belongs,363
1370,fit,363
1371,difference,362
1372,chicken,362
1373,uncle,362
1374,shut,362
1375,missing,361
1376,tough,361
1377,aw,361
1378,diamonds,361
1379,toy,361
1380,grab,360
1381,nearly,359
1382,cast,359
1383,orleans,359
1384,fa,358
1385,um,358
1386,sung,358
1387,oughta,357
1388,embrace,357
1389,sam,356
1390,quick,356
1391,claus,355
1392,hammer,355
1393,christ,355
1394,bitter,354
1395,fighting,354
1396,truly,354
1397,mirror,353
1398,kick,352
1399,nobody's,352
1400,downtown,352
1401,buddy,351
1402,changes,351
1403,wearing,351
1404,forgot,350
1405,bone,350
1406,momma,349
1407,divine,349
1408,beer,349
1409,jones,349
1410,safe,349
1411,st,349
1412,fame,348
