token,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags,min_count_all_labels,max_count_all_labels,mean_count_all_labels,count_ratio_max_to_min,count_cv_all_labels,range_cosine_similarity,range_cosine_distance,adjacent_distance_mean,adjacent_distance_sum,adjacent_distance_max,dominant_jump_pair,one_step_dominance,count_1960_1969,count_1970_1979,count_1980_1989,count_1990_1999,count_2000_2009,count_2010_2019,cos_1960_1969__to__1970_1979,cos_1970_1979__to__1980_1989,cos_1980_1989__to__1990_1999,cos_1990_1999__to__2000_2009,cos_2000_2009__to__2010_2019,dist_1960_1969__to__1970_1979,dist_1970_1979__to__1980_1989,dist_1980_1989__to__1990_1999,dist_1990_1999__to__2000_2009,dist_2000_2009__to__2010_2019
shelter,True,False,False,False,False,False,,197,9118,2752.0,46.28426395939086,1.1201487454789383,0.5067827105522156,0.4932172894477844,0.3268283367156982,1.6341416835784912,0.42164790630340576,1980_1989__to__1990_1999,0.2580240811066448,197,428,922,2164,3683,9118,0.6246368885040283,0.6374368071556091,0.5783520936965942,0.7251513600349426,0.8002811670303345,0.3753631114959717,0.36256319284439087,0.42164790630340576,0.2748486399650574,0.19971883296966553
island,True,False,False,False,False,False,,384,17542,4468.666666666667,45.682291666666664,1.3425400346412217,0.5068984627723694,0.4931015372276306,0.404587721824646,2.02293860912323,0.45174920558929443,1980_1989__to__1990_1999,0.22331335392579654,384,782,1191,2463,4450,17542,0.5513178706169128,0.5604809522628784,0.5482507944107056,0.6186367869377136,0.6983749866485596,0.44868212938308716,0.4395190477371216,0.45174920558929443,0.3813632130622864,0.30162501335144043
bills,True,False,False,False,False,False,,126,24597,5142.333333333333,195.21428571428572,1.7079965784342819,0.5069554448127747,0.49304455518722534,0.29638378620147704,1.4819189310073853,0.35575687885284424,1980_1989__to__1990_1999,0.24006500720724736,126,255,558,1666,3652,24597,0.6887882351875305,0.7073104381561279,0.6442431211471558,0.7046887278556824,0.7730505466461182,0.3112117648124695,0.29268956184387207,0.35575687885284424,0.2953112721443176,0.22694945335388184
returning,True,False,False,False,False,False,,103,3185,932.8333333333334,30.92233009708738,1.1432398961696748,0.5071069002151489,0.4928930997848511,0.39181681871414187,1.9590840935707092,0.5047078728675842,1980_1989__to__1990_1999,0.25762440444691803,103,243,308,570,1188,3185,0.6274781823158264,0.5906022787094116,0.49529212713241577,0.6317711472511292,0.6957721710205078,0.3725218176841736,0.4093977212905884,0.5047078728675842,0.36822885274887085,0.3042278289794922
bored,True,False,False,False,False,False,,113,15859,3640.5,140.34513274336283,1.5347582333952106,0.5072446465492249,0.49275535345077515,0.38347712755203245,1.9173856377601624,0.4329596161842346,1960_1969__to__1970_1979,0.22580726988755703,113,259,569,1473,3570,15859,0.5670403838157654,0.5771071314811707,0.5866593718528748,0.6149039268493652,0.7369035482406616,0.4329596161842346,0.42289286851882935,0.41334062814712524,0.38509607315063477,0.2630964517593384
perhaps,True,False,False,False,False,False,,367,5511,1660.6666666666667,15.016348773841962,1.098150068444763,0.5073806643486023,0.4926193356513977,0.3804463028907776,1.902231514453888,0.4700582027435303,1970_1979__to__1980_1989,0.24710882937846784,367,401,457,1158,2070,5511,0.6716738939285278,0.5299417972564697,0.6197991967201233,0.5903852581977844,0.6859683394432068,0.32832610607147217,0.4700582027435303,0.3802008032798767,0.4096147418022156,0.3140316605567932
burden,True,False,False,False,False,False,,110,9462,2272.6666666666665,86.01818181818182,1.4638675163406458,0.5074597001075745,0.49254029989242554,0.324773895740509,1.6238694787025452,0.3967246413230896,1990_1999__to__2000_2009,0.2443082073567073,110,212,273,973,2606,9462,0.7090336084365845,0.6846885085105896,0.6393316984176636,0.6032753586769104,0.7398013472557068,0.2909663915634155,0.3153114914894104,0.3606683015823364,0.3967246413230896,0.2601986527442932
treats,True,False,False,False,False,False,,167,3126,841.5,18.718562874251496,1.2521359797490679,0.5075479745864868,0.4924520254135132,0.2951302409172058,1.475651204586029,0.3797193765640259,1980_1989__to__1990_1999,0.2573232586290947,167,174,181,519,882,3126,0.8152655959129333,0.7186288833618164,0.6202806234359741,0.6401903629302979,0.7299833297729492,0.18473440408706665,0.2813711166381836,0.3797193765640259,0.35980963706970215,0.2700166702270508
pale,True,False,False,False,False,False,,247,9939,2926.3333333333335,40.23886639676113,1.1722692513572466,0.5076912045478821,0.4923087954521179,0.3631190299987793,1.8155951499938965,0.4446554183959961,1980_1989__to__1990_1999,0.24490890405688234,247,428,597,2064,4283,9939,0.6395910382270813,0.5719167590141296,0.5553445816040039,0.6652800440788269,0.7522724270820618,0.3604089617729187,0.42808324098587036,0.4446554183959961,0.3347199559211731,0.24772757291793823
lesson,True,False,False,False,False,False,,215,22368,5086.0,104.03720930232558,1.5444991955767542,0.507767379283905,0.49223262071609497,0.3075343370437622,1.537671685218811,0.3918842673301697,1970_1979__to__1980_1989,0.25485561781311233,215,311,983,2328,4311,22368,0.6836977601051331,0.6081157326698303,0.6759744882583618,0.7083517909049988,0.786188542842865,0.31630223989486694,0.3918842673301697,0.3240255117416382,0.2916482090950012,0.213811457157135
chained,True,False,False,False,False,False,,118,4634,1209.5,39.271186440677965,1.309439352442423,0.5078731179237366,0.4921268820762634,0.3762949228286743,1.8814746141433716,0.42320936918258667,1980_1989__to__1990_1999,0.22493493454615243,118,210,299,671,1325,4634,0.6209352612495422,0.6071100234985352,0.5767906308174133,0.6299587488174438,0.6837307214736938,0.37906473875045776,0.39288997650146484,0.42320936918258667,0.37004125118255615,0.31626927852630615
grave,True,False,False,False,False,False,,516,40967,9910.166666666666,79.39341085271317,1.449637893588048,0.507912278175354,0.492087721824646,0.30760029554367063,1.5380014777183533,0.4320308566093445,1970_1979__to__1980_1989,0.2809040582004305,516,656,1500,4657,11165,40967,0.6944988965988159,0.5679691433906555,0.6600778698921204,0.7302075624465942,0.8092450499534607,0.3055011034011841,0.4320308566093445,0.33992213010787964,0.26979243755340576,0.1907549500465393
