rank,token,count
424,sleep,3746
425,room,3728
426,its,3713
427,star,3686
428,game,3680
429,sunshine,3679
430,bed,3676
431,part,3672
432,lie,3616
433,dark,3616
434,says,3614
435,river,3609
436,ground,3601
437,three,3597
438,matter,3570
439,mother,3540
440,meet,3531
441,train,3524
442,peace,3507
443,miss,3506
444,doing,3505
445,sit,3495
446,fight,3471
447,brother,3453
448,dancing,3447
449,air,3437
450,singing,3416
451,girls,3384
452,beat,3365
453,reason,3360
454,bit,3348
455,stars,3314
456,anything,3295
457,hair,3269
458,being,3264
459,wild,3256
460,walking,3253
461,thinking,3224
462,house,3223
463,grow,3220
464,boogie,3212
465,warm,3208
466,seem,3201
467,above,3195
468,lies,3187
469,lover,3182
470,turned,3167
471,takes,3160
472,feelin,3159
473,boys,3142
474,next,3140
475,word,3139
476,pay,3104
477,wouldn't,3101
478,wine,3095
479,bright,3080
480,country,3057
481,save,3048
482,who's,3043
483,eye,3039
484,called,3036
485,across,3035
486,son,3026
487,nice,3024
488,full,3022
489,making,3017
490,glad,3016
491,chorus,3015
492,past,2994
493,loves,2985
494,summer,2966
495,standing,2961
496,lights,2959
497,slow,2955
498,daddy,2940
499,near,2936
500,thank,2928
501,falling,2927
502,share,2918
503,use,2913
504,rest,2912
505,tired,2904
506,keeps,2881
507,nothin,2872
508,crying,2872
509,comin,2865
510,floor,2853
511,low,2851
512,bye,2835
513,green,2824
514,nights,2821
515,dear,2815
516,hit,2806
517,beautiful,2802
518,woo,2802
519,great,2796
520,earth,2793
521,gets,2793
522,cool,2793
523,talking,2786
524,fast,2769
525,alive,2756
526,truth,2747
527,wanted,2742
528,poor,2742
529,everyone,2736
530,broken,2730
531,blow,2704
532,doesn't,2697
533,party,2689
534,band,2678
535,gold,2673
536,hell,2659
537,playing,2655
538,wants,2655
539,power,2649
540,blind,2648
541,lookin,2648
542,leaving,2647
543,anymore,2628
544,trouble,2627
545,somewhere,2624
546,which,2607
547,both,2606
548,wake,2603
549,met,2600
550,looked,2595
551,under,2594
552,joy,2589
553,hoo,2584
554,tight,2583
555,king,2581
556,burning,2578
557,drink,2569
558,songs,2562
559,funky,2557
560,looks,2524
561,four,2521
562,reach,2506
563,between,2493
564,feels,2489
565,pass,2478
566,midnight,2475
567,wall,2473
568,window,2472
569,worry,2470
570,carry,2463
571,follow,2451
572,half,2445
573,magic,2424
574,ring,2424
575,learn,2420
576,jah,2413
577,felt,2406
578,mountain,2394
579,ba,2393
580,most,2392
581,someday,2392
582,shall,2391
583,yet,2389
584,car,2382
585,needs,2367
586,sight,2339
587,started,2334
588,known,2331
589,higher,2323
590,clear,2309
591,laugh,2304
592,step,2300
593,silver,2299
594,ways,2294
595,fear,2290
596,catch,2287
597,hang,2278
598,doin,2273
599,spend,2273
600,wasn't,2264
601,lives,2257
602,war,2251
603,he'll,2247
604,funny,2230
605,strange,2217
606,gimme,2215
607,shoes,2207
608,story,2206
609,win,2202
610,burn,2199
611,livin,2199
612,hello,2196
613,afraid,2188
614,everywhere,2179
615,isn't,2175
616,tree,2167
617,calling,2166
618,answer,2164
619,moving,2161
620,tryin,2159
621,yesterday,2154
622,ago,2153
623,mr,2147
624,read,2140
625,father,2128
626,queen,2120
627,number,2117
628,hate,2116
629,she'll,2113
630,taking,2107
631,five,2105
632,lead,2103
633,treat,2101
634,guitar,2096
635,ho,2094
636,fell,2093
637,yours,2084
638,blood,2082
639,top,2075
640,gettin,2073
641,they'll,2073
642,year,2070
643,saying,2063
644,walked,2060
645,caught,2057
646,women,2056
647,nowhere,2055
648,voice,2053
649,wife,2050
650,cried,2049
651,talkin,2040
652,empty,2039
653,send,2027
654,stone,2021
655,memories,2020
656,almost,2010
657,buy,2010
658,shame,2007
659,streets,1995
660,shining,1986
661,sorry,1983
662,gun,1977
663,drive,1971
664,outside,1967
665,fill,1944
666,apart,1944
667,brought,1930
668,different,1929
669,dog,1925
670,angel,1925
671,christmas,1910
672,moment,1908
673,everybody's,1904
674,blame,1899
675,cross,1897
676,turning,1892
677,school,1891
678,bird,1883
679,love's,1879
680,evening,1861
681,throw,1859
682,runnin,1854
683,devil,1854
684,miles,1852
685,straight,1847
686,sitting,1843
687,death,1836
688,died,1834
689,played,1834
690,freedom,1833
691,lips,1832
692,hearts,1830
693,darlin,1828
694,longer,1821
695,somehow,1804
696,ten,1797
697,pride,1787
698,dawn,1787
699,beside,1771
700,quite,1767
701,rise,1766
702,belong,1761
703,watching,1761
704,brand,1760
705,few,1760
706,pray,1758
707,darkness,1754
708,news,1747
709,giving,1744
710,bound,1743
711,golden,1739
712,early,1738
713,snow,1732
714,guy,1731
715,write,1727
716,changed,1725
717,telling,1723
718,knees,1718
719,trees,1717
720,within,1717
721,tear,1715
722,future,1712
723,di,1709
724,shout,1706
725,folks,1702
726,space,1700
727,cut,1698
728,sign,1693
729,wide,1691
730,cannot,1685
731,holding,1684
732,rolling,1683
733,corner,1682
734,eat,1680
735,lovers,1678
736,working,1675
737,lovely,1665
738,thousand,1664
739,pick,1662
740,sister,1661
741,funk,1658
742,wear,1658
743,kill,1654
744,control,1648
745,million,1647
746,hour,1633
747,special,1632
748,oo,1629
749,kids,1626
750,against,1625
751,feelings,1622
752,rather,1614
753,memory,1605
754,c'mon,1604
755,we'd,1603
756,sunday,1602
757,clouds,1601
758,finally,1600
759,happiness,1599
760,ladies,1594
761,wings,1590
762,knowing,1589
763,mad,1589
764,held,1581
765,shot,1580
766,flying,1579
767,glory,1576
768,y'all,1574
769,dancin,1574
770,sugar,1573
771,sand,1565
772,dry,1562
773,rose,1561
774,mighty,1559
775,hill,1559
776,fair,1558
777,heavy,1552
778,whatever,1543
779,minute,1540
780,dying,1540
781,jump,1540
782,small,1536
783,sail,1536
784,brown,1530
785,leaves,1522
786,ahead,1515
787,dirty,1514
788,worth,1514
789,having,1512
790,dreaming,1511
791,winter,1506
792,spirit,1505
793,letter,1503
794,speak,1502
795,highway,1501
796,faces,1500
797,groove,1496
798,pull,1495
799,radio,1493
800,filled,1491
801,broke,1484
802,saturday,1483
803,meant,1476
804,sorrow,1473
805,walkin,1472
806,he'd,1468
807,clean,1466
808,thoughts,1465
809,family,1465
810,soft,1462
811,seven,1460
812,loud,1459
813,clothes,1459
814,ball,1458
815,asked,1453
816,rollin,1452
817,movin,1450
818,lying,1449
819,growing,1447
820,fade,1442
821,six,1442
822,means,1435
823,simple,1428
824,skies,1427
825,tune,1424
826,begin,1422
827,hanging,1422
828,mary,1421
829,happen,1419
830,york,1419
831,slowly,1419
832,anyone,1419
833,smoke,1411
834,bop,1410
835,anyway,1409
836,flowers,1408
837,happened,1405
838,loose,1405
839,ocean,1404
840,needed,1402
841,doubt,1398
842,johnny,1396
843,man's,1392
844,jack,1390
845,lived,1389
846,learned,1386
847,trust,1385
848,rhythm,1381
849,shadows,1376
850,promise,1375
851,kept,1375
852,losing,1370
853,hours,1369
854,disco,1369
855,spring,1356
856,brain,1352
857,luck,1350
858,ones,1349
859,they've,1346
860,makin,1343
861,holy,1343
862,stood,1343
863,dig,1337
864,lucky,1335
865,taste,1335
866,surely,1335
867,proud,1334
868,taken,1334
869,here's,1331
870,bet,1319
871,key,1318
872,doctor,1315
873,phone,1314
874,closer,1311
875,damn,1309
876,stuff,1308
877,fever,1303
878,stranger,1302
879,lonesome,1300
880,mornin,1299
881,satisfied,1297
882,west,1293
883,crowd,1292
884,haven't,1287
885,tall,1286
886,machine,1285
887,brings,1280
888,evil,1278
889,de,1276
890,places,1276
891,race,1275
892,ship,1273
893,wonderful,1272
894,cat,1269
895,changes,1268
896,cos,1265
897,job,1265
898,ran,1264
899,build,1262
900,birds,1260
901,second,1258
902,cryin,1256
