token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
dancer,1960_1969,2010_2019,0.26040083169937134,0.7395991683006287,111,5940,111,5940,3025.5,53.513513513513516,True,False,False,False,False,False,
zoo,1960_1969,2010_2019,0.2607625722885132,0.7392374277114868,162,6284,162,6284,3223.0,38.79012345679013,True,False,False,False,False,False,
pam,1960_1969,2010_2019,0.2624841332435608,0.7375158667564392,134,2361,134,2361,1247.5,17.619402985074625,True,False,False,False,False,False,
partner,1960_1969,2010_2019,0.26302066445350647,0.7369793355464935,100,7408,100,7408,3754.0,74.08,True,False,False,False,False,False,
lean,1960_1969,2010_2019,0.263969749212265,0.736030250787735,220,60080,220,60080,30150.0,273.09090909090907,True,False,False,False,False,False,
po,1960_1969,2010_2019,0.26425278186798096,0.735747218132019,105,9534,105,9534,4819.5,90.8,False,True,False,False,False,False,too_short
dan,1960_1969,2010_2019,0.26447030901908875,0.7355296909809113,137,5659,137,5659,2898.0,41.306569343065696,True,False,False,False,False,False,
lane,1960_1969,2010_2019,0.2652999758720398,0.7347000241279602,275,37998,275,37998,19136.5,138.17454545454547,True,False,False,False,False,False,
sandy,1960_1969,2010_2019,0.2658715844154358,0.7341284155845642,119,2245,119,2245,1182.0,18.865546218487395,True,False,False,False,False,False,
puff,1960_1969,2010_2019,0.2661294639110565,0.7338705360889435,152,12013,152,12013,6082.5,79.03289473684211,True,False,False,False,False,False,
jive,1960_1969,2010_2019,0.2664721608161926,0.7335278391838074,135,1913,135,1913,1024.0,14.170370370370371,True,False,False,False,False,False,
baba,1960_1969,2010_2019,0.2677310109138489,0.7322689890861511,103,3133,103,3133,1618.0,30.41747572815534,True,False,False,False,False,False,
woo,1960_1969,2010_2019,0.26841750741004944,0.7315824925899506,1182,57208,1182,57208,29195.0,48.39932318104907,True,False,False,False,False,False,
surf,1960_1969,2010_2019,0.2694244980812073,0.7305755019187927,217,4877,217,4877,2547.0,22.474654377880185,True,False,False,False,False,False,
dolly,1960_1969,2010_2019,0.2740325331687927,0.7259674668312073,245,1384,245,1384,814.5,5.648979591836735,True,False,False,False,False,False,
duck,1960_1969,2010_2019,0.2741298973560333,0.7258701026439667,126,14814,126,14814,7470.0,117.57142857142857,True,False,False,False,False,False,
handy,1960_1969,2010_2019,0.2758169174194336,0.7241830825805664,102,2121,102,2121,1111.5,20.794117647058822,True,False,False,False,False,False,
press,1960_1969,2010_2019,0.27586889266967773,0.7241311073303223,132,19727,132,19727,9929.5,149.4469696969697,True,False,False,False,False,False,
whine,1960_1969,2010_2019,0.27634474635124207,0.7236552536487579,112,11510,112,11510,5811.0,102.76785714285714,True,False,False,False,False,False,
sh,1960_1969,2010_2019,0.28048330545425415,0.7195166945457458,121,11389,121,11389,5755.0,94.12396694214875,False,True,False,False,False,False,too_short
hook,1960_1969,2010_2019,0.28061822056770325,0.7193817794322968,112,123585,112,123585,61848.5,1103.4375,True,False,False,False,False,False,
rah,1960_1969,2010_2019,0.28244641423225403,0.717553585767746,178,4284,178,4284,2231.0,24.06741573033708,True,False,False,False,False,False,
ma,1960_1969,2010_2019,0.2844625413417816,0.7155374586582184,593,45442,593,45442,23017.5,76.63069139966274,False,True,False,False,False,False,too_short
rocking,1960_1969,2010_2019,0.28519487380981445,0.7148051261901855,234,24930,234,24930,12582.0,106.53846153846153,True,False,False,False,False,False,
twistin,1960_1969,2010_2019,0.28562575578689575,0.7143742442131042,163,1659,163,1659,911.0,10.177914110429448,True,False,False,False,False,False,
kangaroo,1960_1969,2010_2019,0.2859085500240326,0.7140914499759674,162,898,162,898,530.0,5.54320987654321,True,False,False,False,False,False,
canyon,1960_1969,2010_2019,0.28724902868270874,0.7127509713172913,102,1643,102,1643,872.5,16.107843137254903,True,False,False,False,False,False,
harry,1960_1969,2010_2019,0.28743913769721985,0.7125608623027802,174,4209,174,4209,2191.5,24.189655172413794,False,False,False,False,True,False,probable_name
molly,1960_1969,2010_2019,0.2885449230670929,0.7114550769329071,253,21362,253,21362,10807.5,84.43478260869566,True,False,False,False,False,False,
joe,1960_1969,2010_2019,0.2885919511318207,0.7114080488681793,806,11317,806,11317,6061.5,14.040942928039703,False,False,False,False,True,False,probable_name
hooray,1960_1969,2010_2019,0.2896518111228943,0.7103481888771057,107,1515,107,1515,811.0,14.158878504672897,True,False,False,False,False,False,
what'll,1960_1969,2010_2019,0.2897740602493286,0.7102259397506714,120,1411,120,1411,765.5,11.758333333333333,True,False,False,False,False,False,
